x1,x2,x3,x4,x5,x6
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.877e-5,0.00227998,0.00247503,0.00041907,0.00017204,0.00041224
0.01711383,0.07107172,0.06729973,0.01302321,0.01743199,0.02394897
0.13892117,0.22108561,0.22687127,0.09684401,0.11425519,0.13441725
0.28990568,0.38902976,0.38959143,0.2475132,0.2784387,0.2922593
0.42396357,0.53739659,0.55175936,0.3623877,0.37430562,0.44936591
0.54154507,0.64782132,0.65325643,0.47272209,0.47431209,0.57063561
0.57077854,0.70582192,0.69637305,0.50111323,0.54196529,0.61679257
0.58225555,0.71069376,0.71605435,0.53485223,0.57968252,0.62749241
0.57244725,0.67360868,0.66547212,0.54376578,0.52658836,0.5851182
0.4925851,0.58381367,0.57020866,0.43795938,0.45685223,0.48595756
0.34482366,0.44085553,0.42168495,0.34653893,0.31674931,0.33046105
0.15931321,0.26875331,0.25915412,0.1550288,0.16340798,0.17498286
0.02446418,0.09756915,0.09042454,0.02932473,0.02653884,0.03626189
0.00012022,0.00907964,0.00861206,0.00078954,0.00034092,0.00067645
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
