x1,x2,x3,x4,x5,x6,x7
1.0,10011.40362837,9995.86797512,12727.51010202,12806.33722669,9909.82721391,9763.73817428
2.0,9513.82267772,9431.72529799,12039.86243302,12109.5697255,9430.91583867,9272.07648017
3.0,9200.63185235,9096.90241008,11576.02810737,11615.79360951,9142.05892397,8984.20775605
4.0,9024.0926093,8909.55218316,11307.24728897,11329.96474009,8990.85411527,8836.43505069
5.0,9004.77712225,8894.65250667,11293.12891738,11294.38409266,9018.99173714,8852.87056729
6.0,9249.91455315,9147.89413507,11657.47479143,11617.87889284,9362.02406084,9154.45942857
7.0,9813.59728428,9729.50126197,12128.25473497,12043.07925972,10036.34236418,9780.71540481
8.0,10315.26862576,10335.47335825,12331.69596915,12232.95594176,10511.23294193,10285.45119561
9.0,10533.90280679,10654.61804748,13096.1379388,12989.24688358,10755.19190806,10489.25414642
10.0,10886.1878846,11023.98466457,14182.88588437,14080.9209968,11118.34016688,10818.09174111
11.0,11332.17966548,11497.73922192,15302.0900601,15209.10183272,11539.21743067,11202.08634098
12.0,11703.56679704,11892.84525622,16271.27455677,16210.29669425,11880.88746966,11539.16946655
13.0,11976.20984174,12162.19603716,17021.12652829,16989.6080488,12135.45909999,11783.78098043
14.0,12179.83963455,12356.20130429,17653.77425557,17651.62376627,12364.54838003,11989.64442121
15.0,12339.99139225,12502.06614275,18099.89269181,18155.29489599,12539.51477855,12167.14277709
16.0,12430.32343372,12563.77085876,18421.18436466,18476.80276546,12657.72731203,12280.68936191
17.0,12449.99318047,12545.93030859,18492.2601694,18545.99198587,12692.79762122,12314.68289473
18.0,12328.48709566,12417.70756521,18234.78584698,18291.19892394,12577.2377605,12201.1327029
19.0,12243.48371396,12349.77781719,17588.84769607,17630.84904329,12434.79745718,12131.79250644
20.0,12386.69815198,12536.52932978,16943.81531557,16969.67076516,12500.71886986,12288.08787653
21.0,12309.5973622,12518.59337333,16609.67332366,16641.45775212,12444.25188498,12194.1967655
22.0,11944.21136394,12216.87037605,16009.35568688,16060.42347244,12045.5485496,11819.4957213
23.0,11341.59925253,11690.3958738,14957.21796975,15005.46564357,11367.99805475,11192.50931009
24.0,10561.82461157,10989.62746137,13825.63543987,13864.98375456,10551.52063345,10415.78561029
