x1,x2,x3,x4,x5,x6,x7
1.0,12483.79861265,16512.50748573,12957.24909395,12721.44709957,12527.75677615,16851.00843669
2.0,11757.28013055,15447.85320549,12270.0637912,12106.43821793,11879.53907889,15763.68835136
3.0,11342.48929316,14703.68952767,11883.90339095,11775.98194117,11536.02562313,14992.26479068
4.0,11145.13332523,14226.27585156,11728.91343037,11650.87377455,11401.07457809,14487.43745815
5.0,11163.80270707,14084.5345666,11803.21620162,11761.37648488,11497.0895029,14311.79684945
6.0,11563.8406456,14460.82160682,12258.90818901,12310.7187388,11982.07806415,14640.8851357
7.0,12545.85246188,15249.01426028,13325.10367721,13505.41756779,13073.33081195,15346.7455036
8.0,13656.54167057,15781.64189815,14607.21333554,14631.58084702,14203.21663162,15808.04660049
9.0,14146.99424863,16721.55064082,15218.37911877,15082.72117312,14638.51416607,16730.66135689
10.0,14378.79752172,18075.38871924,15449.61093757,15244.26655211,14779.26908764,18084.4106611
11.0,14639.66404725,19642.62274001,15769.6045016,15384.34321939,14914.66161869,19630.05021524
12.0,14815.96917301,21155.73714961,16015.55554354,15436.36203632,14961.71563459,21114.0472174
13.0,14914.74977864,22552.22083466,16125.02929243,15410.33004305,14931.75967035,22453.13908362
14.0,15002.76722024,23836.56265718,16195.30565377,15408.8491179,14921.72162593,23664.28501922
15.0,15080.47485202,24794.7091204,16245.68781781,15408.82494129,14920.94173827,24571.5362085
16.0,15104.24254812,25426.46544911,16208.10313963,15394.60207781,14902.46267945,25177.90643602
17.0,15144.29298285,25717.11953988,16170.06914021,15421.4457193,14906.80784779,25415.6035302
18.0,15171.9145884,25544.74669763,16161.05824791,15429.6986724,14902.08289916,25216.03537798
19.0,15380.97687755,24852.35548914,16339.75263672,15573.21148824,15106.34387401,24507.25913312
20.0,15807.38614506,23748.97292373,16772.88335723,15887.91141443,15523.50806817,23450.47456206
21.0,15849.31396496,22885.12181413,16810.28655615,15952.41089339,15523.37836923,22622.81186995
22.0,15483.45375725,21976.61797969,16483.08912608,15575.41789093,15144.00048005,21730.54396504
23.0,14688.38989216,20253.38746133,15726.36638997,14698.75149338,14331.20172157,20018.62355629
24.0,13577.30887954,18402.81798613,14610.93533245,13532.79352265,13215.75241841,18161.9565814
