x1,x2,x3,x4,x5,x6
8260.32852759,10992.58768167,11020.33162161,8404.89785279,8401.64237588,8323.91740161
7759.05975044,10251.78887489,10277.80333377,7835.61704594,7857.47009884,7800.74725796
7458.35733236,9727.4305548,9740.812337,7499.31485212,7525.63673745,7511.25036518
7309.5209906,9388.51612444,9391.26762448,7323.33054174,7338.79786749,7367.50196156
7297.37238494,9256.51545085,9235.73703899,7290.09914972,7289.552415,7377.39174529
7549.63605274,9484.09313837,9434.3603789,7505.28218188,7487.56872673,7678.95311355
8198.48101772,9982.46886869,9889.26567105,8106.91660359,8061.57629933,8392.8650084
8856.53500974,10199.10238403,10088.95022603,8862.10971792,8692.31299361,9041.3562961
9108.62382684,10809.89896121,10711.93627318,9238.93688967,8972.4711537,9299.29116548
9312.67832945,11731.92812506,11644.30917761,9514.31246202,9223.95495507,9527.92788773
9546.00540226,12752.23195893,12683.38246063,9848.28467884,9545.30191208,9778.59823731
9732.17063956,13717.02297995,13649.21057404,10104.41258264,9828.70961766,9982.33588729
9873.55101778,14595.75648264,14520.5882745,10296.36940695,10053.93835259,10142.85382337
10019.62468527,15371.71410581,15288.87037306,10466.95147494,10269.41993673,10314.70629894
10156.69843883,15991.1897077,15885.4677128,10600.16612745,10461.28361972,10475.26223306
10286.4010895,16416.48446763,16299.72866791,10701.41095232,10612.60592629,10607.39427319
10381.89830754,16628.35462301,16522.03331769,10760.49728535,10708.48091839,10701.73762281
10379.39035577,16530.60139195,16437.82315191,10769.01988737,10696.81941593,10703.20317577
10386.23316423,16107.50836301,16009.22572506,10783.13245907,10653.31838022,10673.61596476
10646.98204944,15418.57690551,15345.45040036,11073.18492768,10843.09298394,10830.55757697
10636.49739062,14983.04287714,14922.36090257,11154.43853417,10837.86576949,10868.75383075
10293.84824826,14437.20529519,14385.73202851,10889.82345226,10490.75320061,10528.95228085
9686.8730643,13359.25228598,13317.69454039,10345.57647445,9883.08630215,9870.35831896
8886.82638845,12134.57216895,12097.92412888,9591.44173864,9069.19039476,9025.2158534
