x1,x2,x3,x4,x5,x6,x7
1.0,4109.00586542,4773.38415557,4194.30333115,4103.30394456,4113.7175957,4776.55937059
2.0,3988.80618403,4571.38172227,4075.61832822,3991.01011027,4009.59064609,4575.58276627
3.0,3920.56023957,4429.91345612,4014.39957118,3941.92336142,3956.34274666,4432.72195821
4.0,3889.98985466,4334.35246717,3988.28689054,3927.91837223,3937.75922863,4336.89060734
5.0,3899.36400821,4287.43598434,3999.52697574,3949.35134665,3954.78593631,4286.85797656
6.0,3960.19767154,4319.66924963,4061.91132922,4032.9850564,4029.15349093,4311.59310305
7.0,4123.5373233,4443.94033587,4229.50704995,4231.08056926,4215.00066853,4420.37289936
8.0,4317.03069722,4520.83945203,4446.73072888,4432.97280316,4419.14434435,4486.58355943
9.0,4413.05366861,4701.72723371,4575.57723017,4519.98985303,4507.77517415,4668.15064609
10.0,4447.87029288,4964.01531367,4628.03255569,4549.82140105,4527.92312492,4934.56718744
11.0,4487.19739459,5250.08743129,4683.22995495,4566.43023553,4535.60024916,5227.47110491
12.0,4512.99205915,5536.18867692,4717.79906742,4564.43924073,4526.27219251,5523.38338584
13.0,4522.76901362,5789.46995023,4728.39824014,4544.06034298,4503.91521703,5783.44960012
14.0,4541.61844079,6045.21379235,4742.88512857,4545.78177273,4501.4000002,6042.27913917
15.0,4574.36738206,6243.11022765,4765.75174112,4564.2860715,4513.74694394,6246.00436082
16.0,4600.74714081,6384.15022194,4779.40493463,4588.76551888,4532.03632801,6402.55126351
17.0,4629.19954262,6457.60013969,4795.86776897,4619.04529454,4561.07438918,6488.95348574
18.0,4633.90538911,6397.95457659,4791.2998158,4614.99220366,4564.41382651,6436.03023921
19.0,4631.43907012,6269.74939157,4784.93657938,4606.63802991,4560.52778456,6307.43333309
20.0,4710.03211889,6084.38441746,4856.76352019,4661.13589387,4640.80688193,6118.45949065
21.0,4740.86237572,5892.91494419,4877.75922466,4688.30795292,4660.55863139,5919.34028316
22.0,4675.14290263,5736.88103269,4819.09492793,4626.88532522,4596.96850194,5762.41378016
23.0,4528.50835391,5416.64390231,4679.61160193,4465.47308889,4450.27631663,5441.41094803
24.0,4318.32605012,5061.65877039,4473.66483512,4249.50517751,4245.77239957,5079.76770373
