x1,x2,x3,x4,x5,x6,x7,x8
1.0,-0.0,0.05,0.64864865,0.67164179,-0.0,-0.0,0.61016949
2.0,-0.0,0.05,0.62162162,0.65671642,-0.0,-0.0,0.69491525
3.0,-0.0,0.025,0.54054054,0.67164179,-0.0,-0.0,0.61016949
4.0,-0.0,0.025,0.51351351,0.70149254,-0.0,-0.0,0.66101695
5.0,-0.0,-0.0,0.56756757,0.68656716,-0.0,-0.0,0.6440678
6.0,-0.0,0.025,0.59459459,0.67164179,-0.0,-0.0,0.61016949
7.0,-0.0,0.025,0.62162162,0.65671642,-0.0,-0.0,0.62711864
8.0,-0.0,0.05,0.62162162,0.6119403,-0.0,-0.0,0.62711864
9.0,-0.0,0.05,0.59459459,0.6119403,-0.0,-0.0,0.61016949
10.0,-0.0,0.05,0.56756757,0.64179104,-0.0,-0.0,0.66101695
11.0,-0.0,0.025,0.37837838,0.49253731,-0.0,-0.0,0.6440678
12.0,-0.0,-0.0,0.18918919,0.3880597,-0.0,-0.0,0.54237288
13.0,-0.0,-0.0,0.10810811,0.25373134,-0.0,-0.0,0.23728814
14.0,-0.0,-0.0,0.02702703,0.0,-0.0,-0.0,-0.0
15.0,0.03076923,-0.0,-0.0,0.0,0.07843137,0.08695652,-0.0
16.0,0.24615385,-0.0,-0.0,0.0,0.31372549,0.34782609,-0.0
17.0,0.50769231,-0.0,-0.0,0.0,0.43137255,0.32608696,-0.0
18.0,0.53846154,0.025,-0.0,0.0,0.52941176,0.41304348,-0.0
19.0,0.6,0.05,-0.0,0.0,0.70588235,0.5,-0.0
20.0,0.63076923,0.075,-0.0,0.0,0.74509804,0.63043478,-0.0
21.0,0.63076923,0.05,-0.0,0.0,0.78431373,0.65217391,-0.0
22.0,0.63076923,0.1,-0.0,0.0,0.76470588,0.67391304,-0.0
23.0,0.58461538,0.075,-0.0,0.0,0.74509804,0.63043478,-0.0
24.0,0.6,0.05,-0.0,0.0,0.76470588,0.60869565,-0.0
