x1,x2,x3,x4,x5,x6,x7
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.00038618,0.0081839,0.0003963,0.00144413,0.00911264,0.00360612,5.155e-5
0.01673581,0.0910425,0.0225444,0.01390449,0.09254516,0.05208295,0.01093161
0.11886951,0.25228976,0.15256929,0.11166887,0.25663554,0.18221596,0.14404659
0.26606475,0.41505163,0.32239949,0.26966428,0.42336202,0.33282806,0.30900224
0.38596108,0.54682956,0.45433856,0.38874381,0.56060126,0.45465252,0.44918484
0.49251799,0.64516684,0.55037347,0.49397687,0.64103379,0.52339675,0.5823209
0.54471577,0.6903209,0.61332378,0.52918481,0.71521961,0.56181945,0.61146842
0.54075126,0.70060773,0.65127103,0.53838543,0.70040353,0.530761,0.64314224
0.49958996,0.65929658,0.60144642,0.49815575,0.65148325,0.54114013,0.58707849
0.44094146,0.53879814,0.47665626,0.40370606,0.55134631,0.47143853,0.47711231
0.30917008,0.40042603,0.31617097,0.3082493,0.42581976,0.36225092,0.2988337
0.13549779,0.23709805,0.12082529,0.12429651,0.25045935,0.19102635,0.098886
0.02004728,0.08617592,0.01593946,0.02143205,0.08724165,0.04911163,0.00832755
9.287e-5,0.00873254,9.389e-5,0.00078423,0.00859884,0.0013682,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
