x1,x2,x3,x4,x5,x6,x7,x8
1.0,-0.0,0.275,0.78378378,0.94029851,-0.0,-0.0,0.81355932
2.0,-0.0,0.275,0.81081081,0.92537313,-0.0,-0.0,0.81355932
3.0,-0.0,0.3,0.75675676,0.94029851,-0.0,-0.0,0.83050847
4.0,-0.0,0.175,0.75675676,0.92537313,-0.0,-0.0,0.79661017
5.0,-0.0,0.2,0.75675676,0.92537313,-0.0,-0.0,0.77966102
6.0,-0.0,0.2,0.72972973,0.95522388,-0.0,-0.0,0.81355932
7.0,-0.0,0.2,0.75675676,0.91044776,-0.0,-0.0,0.81355932
8.0,-0.0,0.2,0.78378378,0.91044776,-0.0,-0.0,0.81355932
9.0,-0.0,0.25,0.75675676,0.88059701,-0.0,-0.0,0.74576271
10.0,-0.0,0.225,0.78378378,0.86567164,-0.0,-0.0,0.74576271
11.0,-0.0,0.225,0.64864865,0.82089552,-0.0,-0.0,0.79661017
12.0,-0.0,0.175,0.40540541,0.62686567,-0.0,-0.0,0.76271186
13.0,-0.0,0.075,0.24324324,0.52238806,-0.0,-0.0,0.6440678
14.0,-0.0,0.025,0.16216216,0.43283582,-0.0,-0.0,0.3220339
15.0,-0.0,-0.0,0.08108108,0.19402985,0.05882353,0.08695652,-0.0
16.0,0.24615385,-0.0,-0.0,-0.0,0.31372549,0.23913043,-0.0
17.0,0.49230769,-0.0,-0.0,-0.0,0.33333333,0.26086957,-0.0
18.0,0.69230769,-0.0,-0.0,-0.0,0.47058824,0.2826087,-0.0
19.0,0.75384615,0.05,-0.0,-0.0,0.52941176,0.41304348,-0.0
20.0,0.76923077,0.2,-0.0,-0.0,0.60784314,0.54347826,-0.0
21.0,0.76923077,0.2,-0.0,-0.0,0.84313725,0.73913043,-0.0
22.0,0.78461538,0.275,-0.0,-0.0,0.84313725,0.80434783,-0.0
23.0,0.83076923,0.3,-0.0,-0.0,0.8627451,0.84782609,-0.0
24.0,0.83076923,0.325,-0.0,-0.0,0.88235294,0.86956522,-0.0
