x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
3.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
4.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
5.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
6.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
7.0,0.0027946,0.00094279,0.00063309,9.797e-5,0.0,0.00012464,0.00307684
8.0,0.05575611,0.02406826,0.01308605,0.00794201,0.00483022,0.01213752,0.05752949
9.0,0.21443456,0.12984885,0.09351324,0.10600482,0.07618644,0.10781367,0.21637167
10.0,0.40275639,0.29214895,0.28776978,0.29134636,0.26068318,0.30032044,0.39182807
11.0,0.55533429,0.42360961,0.49755883,0.46829071,0.45967862,0.49248803,0.54842905
12.0,0.66098152,0.54599367,0.64219122,0.60370514,0.59235095,0.65898292,0.66555542
13.0,0.72944658,0.59559965,0.69798309,0.66492827,0.66312655,0.7294552,0.71884509
14.0,0.7260217,0.61295223,0.71710257,0.68419234,0.65199112,0.73586039,0.71800919
15.0,0.6844327,0.61864951,0.68909958,0.63056748,0.61622706,0.69207626,0.67130125
16.0,0.62098206,0.53082795,0.59132883,0.54505779,0.51745965,0.5920037,0.58776583
17.0,0.49896699,0.42904919,0.42816743,0.39051774,0.3727341,0.43864397,0.49319335
18.0,0.33528186,0.27855941,0.24104505,0.19645663,0.17514384,0.23495537,0.32023594
19.0,0.14986716,0.10258671,0.0596087,0.03768572,0.01995763,0.05964073,0.15055607
20.0,0.02561962,0.0074147,0.00450585,0.00170592,0.0003634,0.00285504,0.02707619
21.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
22.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
23.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
24.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
