x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.10526316,0.69491525,-0.0,-0.0,-0.0,0.51351351,0.7761194
2.0,0.07894737,0.6779661,-0.0,-0.0,-0.0,0.59459459,0.76119403
3.0,0.07894737,0.71186441,-0.0,-0.0,-0.0,0.62162162,0.76119403
4.0,0.07894737,0.74576271,-0.0,-0.0,-0.0,0.67567568,0.8358209
5.0,0.10526316,0.77966102,-0.0,-0.0,-0.0,0.62162162,0.80597015
6.0,0.07894737,0.79661017,-0.0,-0.0,-0.0,0.62162162,0.86567164
7.0,0.07894737,0.76271186,-0.0,-0.0,-0.0,0.62162162,0.86567164
8.0,0.07894737,0.71186441,-0.0,-0.0,-0.0,0.59459459,0.85074627
9.0,0.07894737,0.69491525,-0.0,-0.0,-0.0,0.59459459,0.85074627
10.0,-0.0,0.72881356,-0.0,-0.0,-0.0,0.59459459,0.85074627
11.0,0.05263158,0.69491525,-0.0,-0.0,-0.0,0.59459459,0.85074627
12.0,0.02631579,0.69491525,-0.0,-0.0,-0.0,0.24324324,0.62686567
13.0,-0.0,0.45762712,-0.0,-0.0,-0.0,0.18918919,0.47761194
14.0,-0.0,0.01694915,-0.0,-0.0,-0.0,0.02702703,0.13432836
15.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16.0,-0.0,-0.0,0.21276596,0.15384615,0.13846154,-0.0,-0.0
17.0,-0.0,-0.0,0.29787234,0.21153846,0.30769231,-0.0,-0.0
18.0,0.05263158,-0.0,0.38297872,0.26923077,0.43076923,-0.0,-0.0
19.0,0.13157895,-0.0,0.55319149,0.5,0.46153846,-0.0,-0.0
20.0,0.10526316,-0.0,0.61702128,0.57692308,0.50769231,-0.0,-0.0
21.0,0.10526316,-0.0,0.72340426,0.65384615,0.55384615,-0.0,-0.0
22.0,0.07894737,-0.0,0.80851064,0.69230769,0.63076923,-0.0,-0.0
23.0,0.10526316,-0.0,0.78723404,0.71153846,0.64615385,-0.0,-0.0
24.0,0.10526316,-0.0,0.76595745,0.69230769,0.67692308,-0.0,-0.0
