x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.51214882,0.48753183,0.63165369,0.45708199,0.48171451,0.71608058,0.49972859
2.0,0.41896615,0.40903383,0.62822144,0.43727682,0.46717137,0.67982478,0.43882395
3.0,0.37183733,0.38666633,0.63149099,0.39317323,0.44772444,0.66049362,0.34503876
4.0,0.32082338,0.333513,0.59308541,0.34119781,0.41328784,0.62802464,0.29448814
5.0,0.26368841,0.30168117,0.57042757,0.32687841,0.37926562,0.55311913,0.25939684
6.0,0.24142287,0.28859283,0.58874288,0.29831731,0.37722601,0.5515087,0.19848599
7.0,0.20476554,0.27331017,0.53976847,0.27200706,0.37760183,0.51677681,0.19248215
8.0,0.11061436,0.2277025,0.53451099,0.2708995,0.34941895,0.49218739,0.12238576
9.0,0.11277231,0.19372967,0.53963748,0.22637035,0.28194183,0.46847348,0.11056192
10.0,0.12721959,0.14450567,0.57598342,0.15970806,0.21269124,0.44163609,0.11918542
11.0,0.13209303,0.14701967,0.56623532,0.11836438,0.17210523,0.46753696,0.13217842
12.0,0.15812738,0.14706483,0.61538595,0.12444846,0.14453163,0.51141246,0.13503435
13.0,0.16131333,0.16512533,0.63325622,0.13547841,0.12936275,0.5528213,0.12911085
14.0,0.16062821,0.19255317,0.66079459,0.16363274,0.12387111,0.61793783,0.16478983
15.0,0.19254605,0.226165,0.67128198,0.15912458,0.13578706,0.58216913,0.16463446
16.0,0.23117282,0.28001167,0.71115964,0.18962905,0.14213464,0.57870565,0.21992814
17.0,0.30597087,0.26834533,0.7199773,0.18566647,0.15652392,0.58268681,0.29094452
18.0,0.35577456,0.2739475,0.69927838,0.21484597,0.17506418,0.60003232,0.31308814
19.0,0.40965241,0.32282367,0.70598793,0.26517473,0.24317203,0.63851203,0.40318147
20.0,0.52047508,0.3771295,0.7633982,0.36860955,0.33914771,0.69943884,0.47175853
21.0,0.61359569,0.52886467,0.77594649,0.48222318,0.34844458,0.74597536,0.58994768
22.0,0.69607703,0.61332183,0.77241315,0.49947741,0.35177739,0.72723449,0.65250407
23.0,0.65020277,0.59909933,0.78108559,0.54043821,0.39568,0.76727188,0.66648689
24.0,0.59872831,0.585775,0.71397982,0.52028866,0.36210928,0.71042565,0.57990881
