x1,x2,x3,x4,x5,x6,x7,x8
1.0,12690.8545199,10056.31114162,10079.5691242,9723.35895339,9861.26795938,9949.43164101,12809.54119474
2.0,12008.31269733,9561.45067298,9511.79503838,9234.25042687,9386.85163856,9447.34169044,12113.85408588
3.0,11548.6148525,9242.3548216,9172.48011683,8950.20681721,9115.2110744,9124.88427451,11621.41502225
4.0,11282.19564369,9070.20563513,8980.88322908,8805.14745803,8982.22445972,8933.43177872,11336.50548967
5.0,11266.76157824,9102.80269136,8962.83587125,8820.84223051,9007.91555442,8896.35011823,11303.04895786
6.0,11628.42717509,9496.52390964,9211.56049081,9117.8084815,9310.02010415,9111.34146051,11628.37577234
7.0,12099.87829465,10186.71578228,9777.3360592,9739.81085555,9995.86572106,9612.62295395,12061.22877763
8.0,12299.86644702,10512.82191804,10359.20075206,10260.56622469,10677.3435677,10034.61980934,12250.0796198
9.0,13046.22131566,10790.54546947,10689.79340146,10456.01676616,10888.20481491,10264.68904402,13006.53983302
10.0,14118.78116142,11281.38888578,11087.1539357,10767.77450593,11092.9254534,10678.13228545,14101.21923507
11.0,15225.97945685,11805.34741521,11585.21619155,11139.84395041,11384.60984345,11185.80869084,15228.87660859
12.0,16185.27630466,12231.60959926,11997.87512723,11469.05971569,11623.30308237,11611.01355789,16227.87691642
13.0,16932.5498307,12577.6468584,12282.21929379,11704.62333102,11774.54636461,11923.30762039,17004.90471513
14.0,17571.67424841,12926.50571598,12488.97784479,11898.68866212,11857.26164766,12168.19399145,17663.55321833
15.0,18028.42988307,13211.55681836,12643.80110398,12068.16831935,11903.75091474,12358.14319941,18165.14844753
16.0,18357.08705163,13440.8382131,12715.28343434,12171.97319386,11907.10702988,12459.79573171,18486.45042712
17.0,18423.68184665,13552.87017374,12702.40793421,12198.19958195,11880.05517647,12481.68030074,18560.65016908
18.0,18153.10317689,13432.53164862,12571.3272847,12085.52915375,11775.53081598,12352.52054605,18321.5394762
19.0,17499.21427956,13072.58790148,12488.17516979,12038.62624577,11836.99329034,12248.58804366,17669.26421767
20.0,16860.97697006,12913.66235503,12643.51604621,12220.10124147,12123.42778949,12364.18924983,17014.73775232
21.0,16527.28066671,12910.45410966,12618.51083605,12125.44872341,11997.28584329,12320.05633717,16686.45711385
22.0,15932.38536648,12456.11603821,12310.66578572,11757.7384669,11647.55310382,11960.48541647,16101.65972827
23.0,14890.69213699,11669.67096124,11769.15878836,11145.62643437,11073.17131304,11356.78098229,15044.91687613
24.0,13767.12442848,10755.75308166,11054.74224245,10382.45953203,10345.04276373,10568.95448342,13902.99669974
