x1,x2,x3,x4,x5,x6,x7,x8
1.0,16459.70825334,12333.17347576,13096.33724353,12554.78480976,13108.03164561,12224.63757017,16993.06894649
2.0,15399.46168647,11668.1318304,12396.62370144,11908.57608627,12499.26976652,11482.89543711,15897.20775193
3.0,14659.80244491,11267.85683591,11997.49805208,11569.69456488,12212.08800345,11034.29429454,15119.82847036
4.0,14185.08550676,11088.96741254,11833.59223072,11437.04352487,12128.61717153,10802.79753061,14607.61081566
5.0,14047.82555203,11160.66603226,11902.50735873,11533.7727843,12269.1495007,10779.26253952,14425.62990217
6.0,14427.10290117,11711.95763909,12351.85847146,12019.18369243,12804.51720515,11131.745515,14749.28791405
7.0,15216.05697907,12928.66444916,13396.10723198,13111.25943004,13985.9262978,12029.75790972,15446.4405893
8.0,15752.79957779,13812.1658356,14638.64006415,14255.1095253,15411.55989635,12993.33971671,15904.437085
9.0,16689.89227788,14224.19305137,15255.64304147,14684.80626122,15907.11806377,13488.30009071,16843.9408847
10.0,18035.53248086,14633.29025825,15526.73113049,14809.20254264,15773.116403,13877.47633551,18225.19866975
11.0,19593.46469584,15041.29661601,15876.34748016,14933.63906985,15618.77343431,14299.75790051,19803.87787116
12.0,21096.42275472,15328.0854282,16149.85876356,14970.57749007,15430.86708769,14603.00483871,21326.21411983
13.0,22484.71685808,15533.00176614,16285.11623862,14931.81836226,15176.61115164,14814.28784108,22702.27779322
14.0,23763.37165896,15764.62508032,16375.56764174,14914.94101882,14952.78714681,14992.69772666,23943.84921684
15.0,24721.86675066,15943.86748989,16445.70448826,14912.14571357,14770.63422525,15150.35603884,24866.44286206
16.0,25354.70404861,16086.84438383,16430.16015041,14890.31939955,14590.11363023,15246.70778434,25473.59216499
17.0,25646.82904856,16227.66679812,16406.85776626,14891.99521634,14497.05723852,15335.55557855,25701.07753688
18.0,25477.87276156,16219.02110783,16398.52309755,14890.11078505,14499.37422626,15389.18586671,25488.0406272
19.0,24789.45006901,16060.4958098,16563.09043033,15110.53859742,14906.2998063,15560.79318646,24763.44820951
20.0,23688.04605364,15966.47243676,16950.9689656,15546.1792512,15625.01241991,15909.34668323,23690.41057082
21.0,22822.97498761,16112.53291065,16972.03934425,15529.67396463,15628.91016699,15966.17158028,22840.08086826
22.0,21920.52310532,15661.99356688,16638.22006812,15143.24441806,15326.7429981,15591.12478242,21931.58560081
23.0,20203.952896,14599.03281119,15859.57027117,14333.78548684,14642.19443479,14767.24503968,20202.54126501
24.0,18358.98535227,13274.15320019,14724.82714409,13228.43593526,13625.54491794,13633.58243517,18330.63760329
