x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,0.65789474,-0.0,0.04166667,-0.0,0.69354839,0.05405405,0.64285714
2.0,-0.0,0.65789474,-0.0,0.08333333,-0.0,0.66129032,0.05405405,0.71428571
3.0,-0.0,0.57894737,-0.0,0.08333333,-0.0,0.67741935,0.02702703,0.625
4.0,-0.0,0.55263158,-0.0,0.08333333,-0.0,0.70967742,0.02702703,0.67857143
5.0,-0.0,0.57894737,-0.0,0.08333333,-0.0,0.70967742,-0.0,0.66071429
6.0,-0.0,0.63157895,-0.0,0.08333333,-0.0,0.67741935,0.02702703,0.625
7.0,-0.0,0.65789474,-0.0,0.04166667,-0.0,0.66129032,0.02702703,0.66071429
8.0,-0.0,0.68421053,-0.0,-0.0,-0.0,0.61290323,0.05405405,0.66071429
9.0,-0.0,0.63157895,-0.0,-0.0,-0.0,0.62903226,0.05405405,0.64285714
10.0,-0.0,0.60526316,-0.0,-0.0,-0.0,0.66129032,0.05405405,0.69642857
11.0,-0.0,0.34210526,-0.0,0.04166667,-0.0,0.53225806,0.02702703,0.67857143
12.0,-0.0,0.18421053,-0.0,0.04166667,-0.0,0.41935484,-0.0,0.55357143
13.0,-0.0,0.10526316,-0.0,-0.0,-0.0,0.27419355,-0.0,0.25
14.0,-0.0,0.02631579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15.0,0.03636364,-0.0,0.06382979,-0.0,0.10869565,-0.0,-0.0,-0.0
16.0,0.29090909,-0.0,0.34042553,-0.0,0.34782609,-0.0,-0.0,-0.0
17.0,0.58181818,-0.0,0.42553191,0.04166667,0.36956522,-0.0,-0.0,-0.0
18.0,0.61818182,-0.0,0.53191489,0.04166667,0.45652174,-0.0,0.02702703,-0.0
19.0,0.67272727,-0.0,0.70212766,0.08333333,0.56521739,-0.0,0.05405405,-0.0
20.0,0.69090909,-0.0,0.74468085,0.125,0.69565217,-0.0,0.08108108,-0.0
21.0,0.69090909,-0.0,0.76595745,0.125,0.73913043,-0.0,0.05405405,-0.0
22.0,0.69090909,-0.0,0.74468085,0.125,0.76086957,-0.0,0.10810811,-0.0
23.0,0.63636364,-0.0,0.74468085,0.125,0.69565217,-0.0,0.08108108,-0.0
24.0,0.61818182,-0.0,0.74468085,0.20833333,0.69565217,-0.0,0.05405405,-0.0
