x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.0079749,0.00053386,0.00011725,0.0119706,2.09e-5,0.00055436,0.00320298,0.00856579
8.0,0.09787273,0.01470906,0.02587885,0.11690943,0.02009545,0.0318719,0.05608631,0.09878183
9.0,0.25707554,0.12861039,0.18635835,0.28747233,0.12449025,0.17623278,0.18954513,0.27414177
10.0,0.42745379,0.25744369,0.34637622,0.44860372,0.27014747,0.34859344,0.34734927,0.41590597
11.0,0.54249855,0.35458948,0.49326315,0.59263025,0.38386011,0.5152898,0.45678913,0.55631807
12.0,0.61815201,0.45161645,0.56522733,0.66683502,0.43658709,0.57805976,0.4927519,0.60766991
13.0,0.62401257,0.51305559,0.60956939,0.71499437,0.46423856,0.60923857,0.57931384,0.64404582
14.0,0.62177788,0.47677337,0.58140055,0.67328131,0.44391593,0.61318696,0.59757633,0.61668285
15.0,0.59052979,0.44471755,0.52920428,0.62437202,0.41149632,0.56482785,0.53728564,0.57896407
16.0,0.48983926,0.37633293,0.4404983,0.49701334,0.31775282,0.4328355,0.47300583,0.4786154
17.0,0.38696647,0.25426477,0.27099058,0.38718465,0.21196418,0.28226698,0.31740244,0.35389264
18.0,0.21405333,0.10482634,0.09411896,0.22038842,0.08701718,0.10286561,0.17568974,0.21511496
19.0,0.06318491,0.01216037,0.00679195,0.0682229,0.00739791,0.01048838,0.03526688,0.06867803
20.0,0.00266721,0.0001807,-0.0,0.00176152,-0.0,5.12e-6,0.00010291,0.00288077
21.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
