x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,-0.0,0.72972973,-0.0,0.08695652,0.05128205,0.66071429,0.9375
2.0,-0.0,-0.0,0.75675676,-0.0,0.08695652,0.07692308,0.71428571,0.921875
3.0,-0.0,-0.0,0.78378378,-0.0,0.04347826,0.05128205,0.64285714,0.921875
4.0,-0.0,-0.0,0.75675676,-0.0,0.08695652,0.07692308,0.67857143,0.90625
5.0,-0.0,-0.0,0.7027027,-0.0,0.08695652,0.07692308,0.67857143,0.9375
6.0,-0.0,-0.0,0.7027027,-0.0,0.04347826,0.02564103,0.75,0.90625
7.0,-0.0,-0.0,0.72972973,-0.0,0.04347826,0.02564103,0.73214286,0.9375
8.0,-0.0,-0.0,0.75675676,-0.0,0.04347826,0.05128205,0.71428571,0.921875
9.0,-0.0,-0.0,0.72972973,-0.0,0.04347826,0.1025641,0.67857143,0.9375
10.0,-0.0,-0.0,0.67567568,-0.0,0.08695652,0.1025641,0.66071429,0.84375
11.0,-0.0,-0.0,0.45945946,-0.0,0.0,0.05128205,0.60714286,0.765625
12.0,-0.0,-0.0,0.2972973,-0.0,0.0,-0.0,0.64285714,0.578125
13.0,-0.0,-0.0,0.16216216,-0.0,0.0,-0.0,0.33928571,0.484375
14.0,-0.0,-0.0,0.05405405,-0.0,0.0,-0.0,-0.0,0.203125
15.0,0.08510638,0.04545455,-0.0,-0.0,0.0,0.02564103,-0.0,-0.0
16.0,0.25531915,0.25,-0.0,0.25104917,0.0,0.02564103,-0.0,-0.0
17.0,0.29120078,0.29545455,-0.0,0.45454545,0.04347826,0.02564103,-0.0,-0.0
18.0,0.38297872,0.43181818,-0.0,0.52727273,0.08695652,0.02564103,-0.0,-0.0
19.0,0.72340426,0.63636364,-0.0,0.52727273,0.08695652,0.07692308,-0.0,-0.0
20.0,0.78723404,0.65909091,-0.0,0.56363636,0.08695652,0.07692308,-0.0,-0.0
21.0,0.78723404,0.70454545,-0.0,0.58181818,0.08695652,0.1025641,-0.0,-0.0
22.0,0.85106383,0.77272727,-0.0,0.65454545,0.13043478,0.07692308,-0.0,-0.0
23.0,0.85106383,0.77272727,-0.0,0.67272727,0.17391304,0.1025641,-0.0,-0.0
24.0,0.87234043,0.79545455,-0.0,0.67272727,0.17391304,0.05128205,-0.0,-0.0
