x1,x2,x3,x4,x5,x6,x7,x8
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
6.544e-5,0.00805789,0.0,0.00374009,0.00074178,0.00040249,0.00768201,0.01180287
0.01385752,0.09261902,0.00816543,0.0547325,0.0127782,0.02014059,0.08900344,0.09037869
0.15293059,0.25131833,0.09277052,0.18177257,0.10442159,0.15221819,0.25799175,0.26180114
0.32508929,0.41257156,0.23265296,0.33935253,0.25901566,0.31909885,0.42217083,0.43414583
0.46626341,0.54300307,0.34161249,0.46158074,0.37237408,0.45051237,0.56492299,0.58483935
0.59357886,0.63941487,0.44238254,0.52813469,0.47336954,0.55170978,0.64152619,0.70968086
0.62561316,0.68545644,0.49924219,0.56892376,0.5106486,0.6144082,0.71547654,0.74739564
0.64662905,0.69519227,0.49639921,0.54355376,0.52020377,0.65518754,0.69361411,0.76092924
0.5873021,0.65829526,0.45892403,0.55005908,0.49389198,0.60407569,0.64229122,0.69879937
0.47691523,0.53504884,0.41014966,0.47388325,0.39777088,0.47750715,0.5442162,0.60770393
0.30203114,0.39910928,0.28328444,0.36190185,0.30415096,0.31679943,0.42088147,0.45507545
0.10177356,0.23614518,0.11443017,0.19329729,0.12360406,0.1184444,0.2460384,0.27039249
0.00969564,0.08776848,0.01179596,0.04959788,0.01925134,0.01502933,0.08466989,0.08950551
0.0,0.00887384,0.0,0.00167647,0.00058278,9.536e-5,0.00826312,0.00643029
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
