x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,-0.0,0.56756757,-0.0,0.04347826,0.1025641,0.71428571,0.78125
2.0,-0.0,-0.0,0.64864865,-0.0,0.04347826,0.07692308,0.69642857,0.765625
3.0,-0.0,-0.0,0.67567568,-0.0,0.04347826,0.07692308,0.73214286,0.765625
4.0,-0.0,-0.0,0.7027027,-0.0,0.08695652,0.07692308,0.76785714,0.84375
5.0,-0.0,-0.0,0.64864865,-0.0,0.08695652,0.1025641,0.80357143,0.8125
6.0,-0.0,-0.0,0.64864865,-0.0,0.08695652,0.07692308,0.82142857,0.875
7.0,-0.0,-0.0,0.62162162,-0.0,0.08695652,0.07692308,0.78571429,0.890625
8.0,-0.0,-0.0,0.62162162,-0.0,0.0,0.07692308,0.75,0.875
9.0,-0.0,-0.0,0.64864865,-0.0,0.0,0.07692308,0.73214286,0.859375
10.0,-0.0,-0.0,0.64864865,-0.0,0.0,-0.0,0.76785714,0.859375
11.0,-0.0,-0.0,0.64864865,-0.0,0.0,0.05128205,0.73214286,0.859375
12.0,-0.0,-0.0,0.27027027,-0.0,0.0,0.02564103,0.73214286,0.640625
13.0,-0.0,-0.0,0.18918919,-0.0,0.0,-0.0,0.48214286,0.5
14.0,-0.0,-0.0,0.02702703,-0.0,0.0,-0.0,0.01785714,0.140625
15.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
16.0,0.21276596,0.18181818,-0.0,0.16363636,0.0,-0.0,-0.0,-0.0
17.0,0.29787234,0.25,-0.0,0.34545455,0.04347826,-0.0,-0.0,-0.0
18.0,0.40425532,0.27272727,-0.0,0.47272727,0.13043478,0.05128205,-0.0,-0.0
19.0,0.63829787,0.45454545,-0.0,0.52727273,0.08695652,0.15384615,-0.0,-0.0
20.0,0.70212766,0.56818182,-0.0,0.58181818,0.08695652,0.1025641,-0.0,-0.0
21.0,0.78723404,0.65909091,-0.0,0.63636364,0.13043478,0.1025641,-0.0,-0.0
22.0,0.85106383,0.68181818,-0.0,0.70909091,0.26086957,0.07692308,-0.0,-0.0
23.0,0.82978723,0.70454545,-0.0,0.72727273,0.26086957,0.1025641,-0.0,-0.0
24.0,0.80851064,0.68181818,-0.0,0.76363636,0.26086957,0.1025641,-0.0,-0.0
