x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,0.46833673,0.59011947,0.52228496,0.77385278,0.63218246,0.46214075,0.47827423,0.48295667
2.0,0.36637236,0.59468719,0.51073064,0.71704722,0.60189536,0.43910667,0.39164486,0.42427607
3.0,0.31445273,0.59623789,0.48814851,0.62686194,0.60364029,0.39790484,0.36746378,0.33829417
4.0,0.26352582,0.56278421,0.45968213,0.55133194,0.57786478,0.34541054,0.31414486,0.28576298
5.0,0.20684448,0.54373982,0.44268,0.52418667,0.47218261,0.33177602,0.28558432,0.25039238
6.0,0.19692873,0.55495,0.44087631,0.46018333,0.47913072,0.30334699,0.27251586,0.19125298
7.0,0.16713733,0.50842246,0.43478113,0.42184,0.45395913,0.27509849,0.25928595,0.18251179
8.0,0.08312194,0.49993263,0.40654326,0.34780472,0.42497681,0.27550473,0.21502505,0.11244298
9.0,0.0713017,0.51427351,0.32059064,0.34420472,0.42035406,0.22661312,0.18533009,0.10051036
10.0,0.08961285,0.53511316,0.24804326,0.37196389,0.39715725,0.15578419,0.12542288,0.10426976
11.0,0.08973164,0.50821175,0.20498284,0.41363639,0.41404826,0.11814989,0.13218018,0.11356452
12.0,0.11343261,0.56310018,0.17287333,0.41694667,0.45821768,0.12473312,0.13250595,0.11872786
13.0,0.11031697,0.57758456,0.14566071,0.46225389,0.50588188,0.13637022,0.1519982,0.10602655
14.0,0.11050339,0.61725684,0.1337627,0.52472194,0.55751391,0.15261108,0.18552613,0.13634476
15.0,0.14640352,0.60296614,0.12905518,0.53627972,0.53478159,0.1633686,0.22164396,0.13657821
16.0,0.19708497,0.64146246,0.12216312,0.50777722,0.55748957,0.18729548,0.27747694,0.20397833
17.0,0.26048558,0.62877754,0.13426879,0.63392028,0.54888377,0.18642903,0.26971099,0.27002214
18.0,0.29218073,0.62575,0.14749957,0.74269222,0.56139029,0.20552925,0.27136306,0.28822238
19.0,0.33911224,0.63792368,0.20360879,0.81477917,0.6086213,0.25559935,0.32292649,0.37823286
20.0,0.46111527,0.69247614,0.30144596,0.89227583,0.66751217,0.36723355,0.36317027,0.44631702
21.0,0.5644417,0.7240993,0.31739518,0.92608722,0.69369754,0.48155699,0.53078739,0.56857583
22.0,0.67166376,0.72955737,0.32533191,0.87445806,0.68622362,0.49778516,0.61381099,0.63626917
23.0,0.63923527,0.74798754,0.37216411,0.81771833,0.72895681,0.53450538,0.60020991,0.65278679
24.0,0.59120073,0.69349316,0.35381688,0.75949472,0.66104913,0.51304882,0.57951586,0.56430869
