x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.00111926,0.00011228,0.0,0.00119072,0.0,3.345e-5,0.00021373,0.00121582
8.0,0.04779381,0.00746788,0.00510256,0.05976964,0.00468779,0.00693447,0.02221825,0.04899399
9.0,0.19907681,0.09595353,0.0966077,0.23340582,0.07987204,0.11512899,0.16052257,0.2155041
10.0,0.38456505,0.32374538,0.3103031,0.43234853,0.2728967,0.33386113,0.34598628,0.39991515
11.0,0.52269524,0.51965763,0.4941683,0.59784812,0.45181625,0.50120788,0.49960895,0.55762337
12.0,0.62666731,0.65840324,0.64239827,0.71557524,0.60474735,0.62315994,0.59105153,0.67100396
13.0,0.70928462,0.71613225,0.70547254,0.77120072,0.68012331,0.67659887,0.653487,0.72750323
14.0,0.73833338,0.72304743,0.70671878,0.74136808,0.6833362,0.69141945,0.65051319,0.75092497
15.0,0.69899272,0.70319792,0.66404689,0.72109978,0.6596517,0.66329795,0.66973158,0.71047384
16.0,0.61202453,0.63455791,0.56208067,0.62109508,0.57347567,0.56779955,0.6007454,0.62427919
17.0,0.4834761,0.45127889,0.41358881,0.5101979,0.42094249,0.42334213,0.47881382,0.49183957
18.0,0.31492561,0.24270791,0.21017121,0.33735314,0.22546346,0.22125034,0.29168167,0.32567392
19.0,0.13135515,0.04952417,0.0333166,0.13884149,0.04281939,0.04324179,0.10320865,0.14483652
20.0,0.02167425,0.00174927,0.00058324,0.01863212,0.00070703,0.00130159,0.00531482,0.02299088
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
