x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,0.66046142,0.885815,0.90584468,0.8115383,0.95241275,0.61411197,0.74067369,0.6373126
2.0,0.62115631,0.88071152,0.90668072,0.76452812,0.96706029,0.59367624,0.73388202,0.65308323
3.0,0.64389887,0.90002727,0.88513027,0.72449091,0.95809507,0.57893692,0.75003595,0.64227427
4.0,0.61033135,0.83909076,0.88779568,0.71046339,0.91200377,0.55577932,0.73344917,0.6151974
5.0,0.61000567,0.88290182,0.89111261,0.70217624,0.90367855,0.5605106,0.73457107,0.58913042
6.0,0.55463858,0.85414045,0.87026505,0.68644824,0.94748522,0.55244103,0.72581071,0.59353625
7.0,0.52769532,0.83960182,0.87604739,0.70356097,0.89417855,0.53251812,0.73335857,0.58562719
8.0,0.49743362,0.83733136,0.82809243,0.61067782,0.9338429,0.47791214,0.63224464,0.57343146
9.0,0.48273574,0.83499909,0.83621928,0.40634352,0.74789333,0.35487897,0.43204464,0.50728208
10.0,0.35594908,0.68921773,0.75136937,0.31246533,0.6390542,0.22094821,0.31090667,0.36280812
11.0,0.21894922,0.54596758,0.61229676,0.24922606,0.62819275,0.19855607,0.29650845,0.26891792
12.0,0.17692936,0.49216985,0.56141477,0.22862885,0.58553652,0.20250342,0.24450476,0.24814948
13.0,0.18059957,0.50465333,0.54142541,0.20620582,0.52821333,0.2265241,0.20352369,0.26057771
14.0,0.20244567,0.51135273,0.5189836,0.21645733,0.50608754,0.22134171,0.1990006,0.27733104
15.0,0.22953007,0.50809106,0.51356505,0.23065648,0.49492377,0.24047214,0.20614774,0.29560823
16.0,0.2364305,0.52580076,0.52727189,0.22661333,0.50411681,0.25681385,0.2424781,0.31240156
17.0,0.24927943,0.53740621,0.51425171,0.28224933,0.51226493,0.28400752,0.28145869,0.32668896
18.0,0.27342099,0.54211742,0.53430613,0.34052315,0.55781913,0.31093197,0.28403024,0.3430599
19.0,0.37195887,0.60682288,0.59778054,0.42674158,0.66259449,0.37705829,0.36860321,0.45222
20.0,0.48691007,0.62896212,0.63388631,0.53245285,0.75022203,0.47311573,0.45807179,0.5481574
21.0,0.56424511,0.66957303,0.68958955,0.60536873,0.8103658,0.52123197,0.63290036,0.67932271
22.0,0.66362922,0.74208727,0.74777964,0.64478788,0.94920638,0.55134291,0.6882794,0.72126062
23.0,0.68121362,0.77122167,0.76687532,0.70583152,0.89887072,0.54395778,0.77996774,0.72794396
24.0,0.72274709,0.79274212,0.78627135,0.76596679,0.94115942,0.60156,0.81442095,0.76666646
