x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,12732.06793133,9843.17681424,9865.75377765,11859.95130708,9805.92116334,9762.20310063,10017.64972813,12827.01480462
2.0,12048.26904448,9299.31191342,9404.71999124,11207.07345438,9320.59783636,9268.41568804,9510.08822159,12131.63035145
3.0,11592.0989956,8978.81702676,9138.77537352,10755.42548832,9015.33753095,8981.38491218,9187.04300873,11639.26033455
4.0,11329.8758009,8801.51113945,9008.35836987,10483.62335149,8840.47579935,8833.1515789,9011.90609382,11355.63264758
5.0,11320.4638806,8789.53058451,9039.95256912,10443.31581928,8807.17476413,8847.99473566,9044.52690994,11323.04320827
6.0,11698.02027778,9036.58779056,9345.9609451,10764.09153502,9005.78710925,9143.7028555,9449.27252579,11647.46164554
7.0,12192.82540828,9634.74649891,10021.07938305,11225.02462893,9515.16905414,9754.78422673,10157.94482563,12078.86328365
8.0,12383.9566491,10305.26900632,10655.0791454,11437.25102845,10041.37992952,10242.09123118,10482.42405647,12265.73010306
9.0,13108.72041219,10596.13093958,10860.94540098,12174.40546392,10236.00877451,10426.88608919,10750.33303164,13021.30800956
10.0,14176.44967448,10896.52188003,11093.52426585,13168.76385866,10545.80649426,10759.13503118,11243.04255011,14110.04562324
11.0,15276.48488315,11305.74737597,11398.21549516,14194.3907674,10966.37458936,11145.31508813,11776.49539804,15235.56169497
12.0,16228.94283318,11650.58061923,11629.51129331,15089.33600866,11317.67923484,11483.08062237,12225.80536613,16232.7051264
13.0,16973.97040382,11864.65296593,11772.26708134,15801.16600404,11562.68364477,11733.59882413,12595.31485934,17005.2488807
14.0,17622.40650946,12002.67693585,11858.4431128,16384.58380297,11728.92373486,11943.55352716,12968.58635707,17666.97960838
15.0,18087.87983912,12107.9555597,11907.25013177,16782.45796491,11871.60224337,12127.18717771,13271.13199811,18172.16310165
16.0,18424.31443616,12126.53799906,11913.54823336,17056.53257468,11933.50899095,12250.99196987,13518.21786499,18496.95092657
17.0,18508.90218401,12089.90828808,11895.9173491,17087.1835695,11932.39086683,12291.22094774,13636.26120894,18570.48322927
18.0,18248.73422232,11978.87382219,11797.2922758,16802.32440434,11821.06746794,12178.95901034,13506.33840138,18333.14621343
19.0,17597.15947736,11969.53557352,11861.93800045,16123.80260713,11815.46184202,12131.65924358,13116.93799794,17686.46223639
20.0,16962.94296254,12245.43211966,12149.41999587,15470.66227696,12055.2065089,12298.83876599,12936.9706723,17029.31408162
21.0,16623.33914714,12238.93098651,12047.67970132,15257.6834216,11978.20631083,12193.35214595,12947.61113679,16700.55711233
22.0,16011.20620683,11955.63462784,11702.74712039,14742.08876565,11643.02912094,11816.30819149,12481.7388346,16116.67458108
23.0,14951.8545909,11452.78581438,11119.3147817,13801.20583228,11102.9270723,11194.72290977,11678.28365139,15060.58700847
24.0,13818.99970169,10774.18917622,10375.944641,12750.56317597,10375.34651931,10422.31765871,10750.28242141,13918.43186154
