x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,13184.02373866,12104.98131234,12823.98382253,16557.70561113,15455.31386531,12132.60379158,16993.4128021,12573.01029001
2.0,12588.44513001,11386.78190654,12155.0842067,15491.80035579,14446.99894148,11477.18543221,15894.64945913,11928.08008902
3.0,12320.1823883,10968.44035257,11789.78589167,14747.20596329,13741.78799538,11079.84787412,15112.84730214,11588.58293695
4.0,12252.4267251,10764.25537501,11652.57373417,14270.8490989,13291.05343071,10903.61286909,14597.51887366,11455.02928929
5.0,12412.76340593,10762.06353022,11736.57038934,14138.97926278,13131.37653596,10971.91446353,14415.32982579,11552.55129156
6.0,12977.56879774,11103.86091286,12192.64960516,14529.82930906,13492.22694378,11516.33690934,14738.20069913,12035.32599511
7.0,14211.14943769,11974.13514231,13259.33290678,15351.34744238,14267.20885039,12727.73803668,15434.92816855,13120.35577599
8.0,15694.41182032,12997.61593878,14583.67045805,15892.24251094,14785.56957668,13599.25923063,15892.40331165,14243.28435351
9.0,16179.97691895,13499.42544018,15201.82066458,16831.15566718,15532.34709988,14007.46794282,16839.14734989,14664.48162924
10.0,16008.02631931,13818.77339004,15383.56758505,18201.89507563,16585.10841745,14412.70747844,18225.30854968,14805.57114459
11.0,15808.44837058,14155.58963315,15639.25408292,19788.7727808,17804.23598495,14823.13829849,19810.77612051,14939.05690558
12.0,15570.84972577,14372.71015546,15817.30549994,21325.30026751,18960.69664522,15121.335853,21336.92354028,14982.29059171
13.0,15267.63209769,14489.12141331,15857.96030498,22739.13300334,20048.63967171,15339.80110742,22712.73936119,14951.95843178
14.0,15012.57894929,14560.01892994,15848.73439331,24042.66132176,21087.29295139,15579.19533699,23951.31496047,14945.20270568
15.0,14815.79184422,14613.37527417,15830.0608402,25006.91731445,21955.56707088,15755.63565359,24870.57432281,14953.06706371
16.0,14628.10064067,14612.43974714,15739.68762917,25624.99854913,22644.23298035,15890.56369267,25474.06202332,14940.23277295
17.0,14530.48527211,14627.45086894,15671.04549137,25893.57361924,23077.90596295,16029.45324534,25694.46798274,14949.53794328
18.0,14536.19254358,14670.96434403,15665.40397228,25696.26797255,23055.66093326,16024.55353765,25477.27586293,14949.48405512
19.0,14982.18502912,14928.25834506,15886.16378553,25001.74643765,22432.37415765,15864.31050786,24753.98401218,15176.0897201
20.0,15731.55921106,15456.30375921,16382.68500888,23892.25027214,21453.26741612,15781.88858229,23676.13896156,15611.33142638
21.0,15762.92865391,15510.83040169,16441.05799571,23013.3792702,20876.65077541,15948.82425758,22823.67848481,15591.39195758
22.0,15491.61437904,15155.09896931,16133.85939224,22073.32064346,20198.22622888,15487.34646955,21912.76355656,15199.1923169
23.0,14828.3393255,14418.34062973,15428.13769535,20328.06423638,18654.99371647,14419.47959713,20181.58425264,14383.81655195
24.0,13812.05886025,13371.08551303,14359.48093579,18458.60291521,16933.78936106,13091.93752861,18311.89794251,13272.37033843
