x1,x2,x3,x4,x5,x6,x7,x8
4201.14372078,4804.3411836,4065.08178628,3989.66874562,4167.37061445,4129.04857777,4788.70484951,4586.4567743
4096.44102244,4600.39660784,3949.95115771,3868.00657874,4051.68640999,4026.38449301,4585.06131561,4397.45402255
4054.30785885,4455.07551695,3886.12815593,3804.81904082,3993.81488486,3974.70416399,4442.75595198,4265.19081459
4046.75351504,4357.58936654,3859.96713324,3776.99401497,3970.75019656,3957.98779977,4346.82774528,4174.92754984
4076.74131972,4305.65700566,3870.4072314,3784.80662937,3985.31206738,3977.22174225,4300.17207275,4132.14638329
4158.10624286,4330.2611819,3930.27640931,3864.42107683,4049.21827974,4053.26136232,4334.25248922,4159.72307682
4351.62071181,4439.56435535,4088.39057214,4059.9108154,4217.67383694,4241.13981211,4463.58403434,4275.65499564
4595.87097947,4507.98366361,4290.45356192,4204.89212564,4439.72589747,4451.58306072,4544.32048615,4331.00577862
4703.73098184,4696.94249505,4386.68982229,4267.67745366,4566.08106736,4539.98342211,4725.06396588,4480.45583021
4695.29757181,4971.20638946,4415.74946999,4342.72056779,4610.43117286,4556.07692655,4988.74840868,4697.25672611
4667.54037738,5272.90000101,4446.7869102,4419.59207103,4656.21426492,4558.40075918,5278.68243021,4930.59846895
4625.13319833,5576.32141375,4459.78787356,4481.18601628,4679.54551002,4543.74176419,5567.97482201,5167.03793981
4563.75957122,5841.1831137,4455.25531765,4527.03193572,4678.02591134,4516.49496323,5822.37898824,5388.16098499
4516.80486227,6102.02764847,4453.87043141,4602.9006124,4679.72782222,4509.64887097,6078.42079949,5629.12285157
4498.67168423,6304.82631489,4468.51912239,4679.13976849,4693.43035712,4518.33660861,6274.22775525,5835.38966288
4490.02059518,6457.70980223,4477.0077586,4755.1357821,4699.86219542,4532.80508291,6411.61171827,6007.18521302
4498.50234242,6539.15179418,4493.36859464,4818.92621861,4711.98509828,4559.55043302,6481.65782058,6118.06201281
4499.77264915,6482.64768754,4500.15481048,4810.34332173,4708.72044796,4562.51732362,6416.37321067,6097.70691663
4518.78969294,6354.03106401,4507.75792394,4764.68683266,4707.64312974,4562.23010195,6288.98167669,5973.00678016
4658.38964333,6166.22948651,4614.70494604,4707.33618701,4787.84869197,4651.97192742,6107.35335383,5779.94852353
4692.39337591,5961.19504827,4663.48497286,4723.58782632,4818.00353427,4671.99369465,5917.53905502,5606.98993864
4641.28160583,5803.35909937,4604.35857577,4641.9589176,4763.89280691,4607.84342421,5758.40281375,5477.26210672
4512.17149827,5478.94973889,4479.25226147,4429.472609,4633.49221272,4464.41618096,5434.88716834,5182.89599105
4322.58435899,5114.90167319,4288.02815278,4167.4073777,4435.08088743,4262.58859466,5075.63193144,4852.47759781
