x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.68085106,-0.0,-0.0,0.63636364,0.05,0.70588235,0.03030303,0.60714286,-0.0
2.0,0.65957447,-0.0,-0.0,0.59090909,0.05,0.70588235,0.03030303,0.69642857,-0.0
3.0,0.65957447,-0.0,-0.0,0.54545455,0.025,0.67647059,0.03030303,0.60714286,-0.0
4.0,0.68085106,-0.0,-0.0,0.5,0.025,0.70588235,0.03030303,0.66071429,-0.0
5.0,0.70212766,-0.0,-0.0,0.5,-0.0,0.70588235,0.03030303,0.64285714,-0.0
6.0,0.72340426,-0.0,-0.0,0.54545455,0.025,0.67647059,0.03030303,0.58928571,-0.0
7.0,0.72340426,-0.0,-0.0,0.59090909,0.025,0.64705882,-0.0,0.625,-0.0
8.0,0.68085106,-0.0,-0.0,0.59090909,0.05,0.61764706,-0.0,0.625,-0.0
9.0,0.63829787,-0.0,-0.0,0.59090909,0.05,0.64705882,-0.0,0.60714286,-0.0
10.0,0.68085106,-0.0,-0.0,0.54545455,0.05,0.64705882,-0.0,0.66071429,-0.0
11.0,0.46808511,-0.0,-0.0,0.40909091,0.025,0.5,-0.0,0.66071429,-0.0
12.0,0.34042553,-0.0,-0.0,0.18181818,-0.0,0.41176471,-0.0,0.55357143,-0.0
13.0,0.21276596,-0.0,-0.0,0.09090909,-0.0,0.26470588,-0.0,0.25,-0.0
14.0,-0.0,-0.0,-0.0,0.04545455,-0.0,-0.0,-0.0,-0.0,-0.0
15.0,-0.0,0.09090909,0.06521739,-0.0,-0.0,-0.0,0.06060606,-0.0,0.02325581
16.0,-0.0,0.38636364,0.30434783,-0.0,-0.0,-0.0,0.09090909,-0.0,0.3255814
17.0,-0.0,0.38636364,0.41304348,-0.0,-0.0,-0.0,0.24242424,-0.0,0.60465116
18.0,-0.0,0.47727273,0.52173913,-0.0,0.025,-0.0,0.27272727,-0.0,0.62790698
19.0,-0.0,0.56818182,0.7173913,-0.0,0.05,-0.0,0.33333333,-0.0,0.6744186
20.0,-0.0,0.70454545,0.76086957,-0.0,0.075,-0.0,0.33333333,-0.0,0.72093023
21.0,-0.0,0.75,0.7826087,-0.0,0.05,-0.0,0.33333333,-0.0,0.72093023
22.0,-0.0,0.77272727,0.76086957,-0.0,0.1,-0.0,0.36363636,-0.0,0.69767442
23.0,-0.0,0.72727273,0.73913043,-0.0,0.075,-0.0,0.36363636,-0.0,0.62790698
24.0,-0.0,0.70454545,0.76086957,-0.0,0.05,-0.0,0.39393939,-0.0,0.62790698
