x1,x2,x3,x4,x5,x6,x7,x8,x9
0.22235193,0.18152085,0.32294819,0.32037387,0.42320807,0.16016968,0.6403416,0.31803333,0.36234552
0.20970327,0.19377282,0.29248781,0.32465307,0.43782684,0.16714254,0.6212088,0.30517013,0.33202989
0.17173719,0.18364342,0.27900876,0.31831027,0.45725614,0.16546698,0.64763467,0.30258107,0.31774966
0.15342585,0.17048803,0.24620038,0.3157036,0.48123702,0.15225254,0.6718112,0.25304667,0.30258506
0.14805474,0.15230308,0.24259905,0.2780832,0.47976737,0.12852016,0.6771472,0.22655827,0.28536437
0.13067123,0.14511692,0.23748724,0.2610904,0.50744474,0.10214937,0.68662693,0.20485587,0.25304
0.13334468,0.13919162,0.20392895,0.2581904,0.50245877,0.09686635,0.70913067,0.20155173,0.22182989
0.1035945,0.12824205,0.1805301,0.25550013,0.47181982,0.07353984,0.72799787,0.18636507,0.20973885
0.10751895,0.11339179,0.18126724,0.18894667,0.43504333,0.07813302,0.70525467,0.17223387,0.17129517
0.08640784,0.10171761,0.2088619,0.128878,0.42482158,0.08153683,0.6516792,0.14442813,0.11434713
0.10431719,0.10198547,0.21564667,0.1208304,0.42885491,0.07675381,0.69435947,0.13497853,0.08640897
0.07726632,0.10157521,0.22694838,0.12330267,0.48318789,0.09603365,0.7124808,0.1510348,0.09574897
0.11422655,0.13772393,0.29892552,0.11623267,0.55164421,0.11427587,0.76620187,0.17164987,0.14718322
0.10469287,0.15382051,0.35901124,0.13010613,0.59953912,0.11779492,0.79540693,0.25920187,0.14713678
0.18298398,0.16703179,0.41446838,0.14079053,0.61436123,0.1613,0.78398667,0.28453627,0.16549333
0.23872725,0.24057846,0.56404819,0.1745992,0.61819421,0.1718219,0.8267464,0.36442627,0.14881586
0.32514269,0.24271333,0.58850019,0.158218,0.62459088,0.2396646,0.83236827,0.38674733,0.17255011
0.35905029,0.25462325,0.6138621,0.1582972,0.63078018,0.30880381,0.8210808,0.40356733,0.18797678
0.41814924,0.29974171,0.59999771,0.18172307,0.6807093,0.37400508,0.79703333,0.3708012,0.17406253
0.46171029,0.28195385,0.59063867,0.19443787,0.63369526,0.39141524,0.809896,0.33048347,0.21263793
0.42506643,0.30126171,0.56403181,0.208176,0.62817439,0.37468587,0.7359064,0.322658,0.17767954
0.38121392,0.22992974,0.48985924,0.20497773,0.60242386,0.33444302,0.6966752,0.29560907,0.17253264
0.28973766,0.21555863,0.46176971,0.2240448,0.56643614,0.26234206,0.67960907,0.31407333,0.18107494
0.24279895,0.21274256,0.40606438,0.22115427,0.57116193,0.22218222,0.63340613,0.34151627,0.17406138
