x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,-0.0,-0.0,0.65454545,-0.0,0.9,0.07692308,0.90625,0.04347826,0.73684211
2.0,-0.0,-0.0,0.70909091,-0.0,0.86,0.1025641,0.96875,0.04347826,0.73684211
3.0,-0.0,-0.0,0.61818182,-0.0,0.92,0.07692308,0.9375,0.04347826,0.68421053
4.0,-0.0,-0.0,0.65454545,-0.0,0.88,0.07692308,0.96875,0.08695652,0.68421053
5.0,-0.0,-0.0,0.65454545,-0.0,0.88,0.07692308,0.96875,0.08695652,0.68421053
6.0,-0.0,-0.0,0.72727273,-0.0,0.86,0.05128205,0.90625,0.04347826,0.68421053
7.0,-0.0,-0.0,0.70909091,-0.0,0.88,0.05128205,0.96875,0.04347826,0.68421053
8.0,-0.0,-0.0,0.69090909,-0.0,0.84,0.07692308,1.0,0.04347826,0.73684211
9.0,-0.0,-0.0,0.65454545,-0.0,0.84,0.12820513,1.0,0.04347826,0.73684211
10.0,-0.0,-0.0,0.63636364,-0.0,0.76,0.1025641,0.9375,0.08695652,0.68421053
11.0,-0.0,-0.0,0.6,-0.0,0.6,0.05128205,0.875,0.0,0.47368421
12.0,-0.0,-0.0,0.63636364,-0.0,0.4,-0.0,0.6875,0.0,0.36842105
13.0,-0.0,-0.0,0.34545455,-0.0,0.34,-0.0,0.46875,0.0,0.26315789
14.0,-0.0,-0.0,-0.0,-0.0,0.18,-0.0,0.15625,0.0,0.05263158
15.0,-0.0,0.10869565,-0.0,0.04444444,-0.0,-0.0,-0.0,0.0,0.0
16.0,0.24656615,0.2826087,-0.0,0.24444444,-0.0,-0.0,-0.0,0.0,0.0
17.0,0.44642857,0.31927036,-0.0,0.28888889,-0.0,-0.0,-0.0,0.04347826,0.0
18.0,0.51785714,0.41304348,-0.0,0.4,-0.0,-0.0,-0.0,0.13043478,0.0
19.0,0.51785714,0.7173913,-0.0,0.64444444,-0.0,0.05128205,-0.0,0.13043478,0.0
20.0,0.55357143,0.76086957,-0.0,0.68888889,-0.0,0.05128205,-0.0,0.13043478,0.0
21.0,0.57142857,0.7826087,-0.0,0.71111111,-0.0,0.07692308,-0.0,0.13043478,0.0
22.0,0.64285714,0.86956522,-0.0,0.75555556,-0.0,0.05128205,-0.0,0.17391304,0.0
23.0,0.66071429,0.86956522,-0.0,0.77777778,-0.0,0.05128205,-0.0,0.2173913,0.0
24.0,0.66071429,0.89130435,-0.0,0.77777778,-0.0,0.02564103,-0.0,0.2173913,0.0
