x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
7.0,9.111e-5,1.686e-5,4.931e-5,0.00227873,0.00307839,0.00112421,0.00922824,0.00770507,0.00864875
8.0,0.01634139,0.01212607,0.01045633,0.01731682,0.0473345,0.0287179,0.08450584,0.090708,0.09276398
9.0,0.11469735,0.10148333,0.14203747,0.12410962,0.17599989,0.18416992,0.2481491,0.25226526,0.25841903
10.0,0.28441875,0.24313641,0.31016732,0.26915315,0.32629289,0.3571328,0.40930761,0.41659252,0.425112
11.0,0.39118678,0.35155701,0.45272434,0.40197847,0.4495027,0.50383995,0.55483639,0.54960792,0.56200882
12.0,0.47949134,0.44191252,0.5858847,0.51346711,0.5248464,0.60805325,0.66202616,0.64750517,0.64069006
13.0,0.55310727,0.48768636,0.61692237,0.55098712,0.5663967,0.64237208,0.72569443,0.69283918,0.71933798
14.0,0.58791408,0.49419262,0.64370203,0.56894127,0.52880265,0.66809577,0.72544647,0.70153707,0.69670274
15.0,0.56281563,0.46375406,0.57858551,0.5065432,0.53994057,0.60812242,0.66886491,0.66100328,0.64801034
16.0,0.43518318,0.40806261,0.47747513,0.42473689,0.46729027,0.49275052,0.58544867,0.53671692,0.53903466
17.0,0.29995592,0.27686707,0.30246986,0.33963336,0.36251267,0.32268577,0.43784076,0.39839887,0.41963895
18.0,0.11861273,0.1166122,0.09912127,0.13471067,0.18867344,0.12664121,0.24722827,0.23373728,0.2530753
19.0,0.01134349,0.01385793,0.00796549,0.02916512,0.04635164,0.02236717,0.07770829,0.08532618,0.0917803
20.0,0.0,0.0,0.0,0.00131894,0.00122591,0.00071151,0.00673112,0.0086097,0.00860349
21.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
