x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.57384964,0.3836,0.627424,0.8003797,0.58123573,0.39317538,0.3795,0.92739826,0.87115965
2.0,0.48244679,0.37612899,0.59787103,0.77300385,0.58808907,0.35894427,0.31441458,0.90690551,0.8635807
3.0,0.45504857,0.35892391,0.56407394,0.74708933,0.58043013,0.36466291,0.2800275,0.89705971,0.87193333
4.0,0.44274345,0.33219638,0.51846921,0.70900978,0.537986,0.33234923,0.24606,0.83969913,0.85499754
5.0,0.36718738,0.28174652,0.4569143,0.68508148,0.5307484,0.31200598,0.21780833,0.80049942,0.84929053
6.0,0.31800119,0.23567319,0.39785224,0.66137319,0.50852227,0.28007436,0.15830875,0.69479536,0.81170982
7.0,0.27767476,0.2183142,0.35088206,0.70300267,0.52226627,0.23551709,0.16428083,0.71628406,0.79969053
8.0,0.18381381,0.18773725,0.22857248,0.6747357,0.48733453,0.21820308,0.19029646,0.50197449,0.76094456
9.0,0.16879071,0.16669116,0.19682121,0.63474622,0.4411808,0.14017231,0.14224375,0.55557304,0.71055333
10.0,0.16756393,0.09992377,0.18985879,0.58131778,0.39114973,0.14076051,0.10777896,0.62955971,0.6779993
11.0,0.14376726,0.07635609,0.19375261,0.59856741,0.3229996,0.1642588,0.07205771,0.70533188,0.69031579
12.0,0.13557607,0.07419188,0.19545927,0.60128163,0.38965773,0.14256444,0.05689458,0.74983159,0.66401509
13.0,0.13908643,0.08007522,0.216832,0.62669778,0.4548876,0.17499692,0.06960937,0.77762551,0.63683684
14.0,0.1600056,0.09710478,0.19931539,0.70633289,0.49083467,0.20213368,0.06854229,0.77850551,0.6534607
15.0,0.17888036,0.1132813,0.2689657,0.68275985,0.53716293,0.27398821,0.07570937,0.83101855,0.64298281
16.0,0.20977,0.12214449,0.28326655,0.68279615,0.5845376,0.25310701,0.08828,0.79194435,0.61472351
17.0,0.26855214,0.12370826,0.29531321,0.68985081,0.65233907,0.24578974,0.10908667,0.87602203,0.61035298
18.0,0.33926429,0.1537771,0.40916242,0.70268756,0.66628827,0.28805624,0.13661354,0.9280458,0.62039719
19.0,0.42340476,0.22852638,0.50312109,0.74194785,0.73097467,0.35902872,0.19366937,0.92246957,0.61280211
20.0,0.53349048,0.30437507,0.63179964,0.75286933,0.8078396,0.44819145,0.25755438,0.92318319,0.59498772
21.0,0.58742512,0.31694971,0.70862182,0.75884874,0.83498333,0.44800188,0.28359729,0.89146899,0.55928947
22.0,0.62947119,0.37544087,0.69153321,0.76858919,0.83232627,0.47166769,0.29896792,0.89520986,0.50296491
23.0,0.63479179,0.38873391,0.66722206,0.74692296,0.81965907,0.42808564,0.3099125,0.88514522,0.46224351
24.0,0.64193417,0.4013271,0.62734509,0.7459317,0.7946052,0.42970444,0.34804604,0.89200261,0.4372586
