x1,x2,x3,x4,x5,x6,x7,x8,x9
0.8245614,0.28205128,0.02857143,-0.0,-0.0,-0.0,0.8,0.92,0.89655172
0.80701754,0.28205128,0.02857143,-0.0,-0.0,-0.0,0.84,0.92,0.89655172
0.8245614,0.30769231,0.02857143,-0.0,-0.0,-0.0,0.76,0.92,0.93103448
0.78947368,0.17948718,0.02857143,-0.0,-0.0,-0.0,0.76,0.92,0.89655172
0.78947368,0.20512821,0.02857143,-0.0,-0.0,-0.0,0.76,0.92,0.86206897
0.8245614,0.20512821,0.02857143,-0.0,-0.0,-0.0,0.76,0.92,0.89655172
0.80701754,0.20512821,0.02857143,-0.0,-0.0,-0.0,0.8,0.9,0.86206897
0.80701754,0.20512821,0.02857143,-0.0,-0.0,-0.0,0.8,0.92,0.86206897
0.73684211,0.25641026,0.02857143,-0.0,-0.0,-0.0,0.76,0.88,0.86206897
0.75438596,0.23076923,-0.0,-0.0,-0.0,-0.0,0.8,0.86,0.86206897
0.80701754,0.23076923,-0.0,-0.0,-0.0,-0.0,0.72,0.76,0.82758621
0.75438596,0.17948718,0.02857143,-0.0,-0.0,-0.0,0.52,0.46,0.75862069
0.66666667,0.07692308,-0.0,-0.0,-0.0,-0.0,0.28,0.38,0.62068966
0.33333333,0.02564103,-0.0,-0.0,-0.0,-0.0,0.2,0.36,0.4137931
-0.0,-0.0,0.05714286,0.06,0.05263158,-0.0,0.08,0.24,0.06896552
-0.0,-0.0,0.2,0.3,0.23684211,0.28571429,-0.0,-0.0,-0.0
-0.0,-0.0,0.31428571,0.32,0.26315789,0.57142857,-0.0,-0.0,-0.0
-0.0,0.02564103,0.42857143,0.44,0.28947368,0.78571429,-0.0,-0.0,-0.0
-0.0,0.07692308,0.54285714,0.52,0.39473684,0.80952381,-0.0,-0.0,-0.0
-0.0,0.23076923,0.65714286,0.6,0.47368421,0.80952381,-0.0,-0.0,-0.0
-0.0,0.23076923,0.62857143,0.84,0.71052632,0.83333333,-0.0,-0.0,-0.0
-0.0,0.28205128,0.62857143,0.86,0.78947368,0.85714286,-0.0,-0.0,-0.0
-0.0,0.28205128,0.68571429,0.88,0.86842105,0.88095238,-0.0,-0.0,-0.0
-0.0,0.30769231,0.71428571,0.9,0.86842105,0.88095238,-0.0,-0.0,-0.0
