x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
3.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
4.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
5.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
6.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
7.0,0.0,-0.0,0.0,0.00072506,0.00081078,0.00030848,0.00375738,0.00299755,0.00199742
8.0,0.00573784,0.00508385,0.00535482,0.01549349,0.02176093,0.01141239,0.06066436,0.05680484,0.05302518
9.0,0.08480982,0.08490443,0.07992283,0.10247652,0.12301339,0.1272754,0.22209383,0.21548696,0.20949589
10.0,0.2758611,0.26328433,0.27139973,0.30886977,0.28166978,0.30711242,0.41043223,0.39079955,0.40216494
11.0,0.45952625,0.44337319,0.4819232,0.51508457,0.41176959,0.48797916,0.5874723,0.5491572,0.54589988
12.0,0.60828922,0.60958273,0.61751776,0.66092967,0.53981425,0.59971403,0.69990573,0.66769521,0.65059478
13.0,0.6747514,0.68296611,0.6921589,0.71490325,0.59559965,0.64627619,0.73583746,0.72352657,0.73189139
14.0,0.67784199,0.70008959,0.67786037,0.72511971,0.61295223,0.67283918,0.75596104,0.72937076,0.71079127
15.0,0.62423989,0.64938197,0.6444661,0.69972067,0.62095038,0.63845312,0.70965628,0.67528538,0.67714505
16.0,0.54508839,0.55189846,0.54009041,0.60194129,0.53147636,0.55152866,0.63188926,0.58955602,0.61459819
17.0,0.40133957,0.40303864,0.38380203,0.44358889,0.43036674,0.38617121,0.49865003,0.49468794,0.49707439
18.0,0.20066666,0.2072546,0.17931199,0.2606401,0.27809755,0.2000535,0.31999457,0.32034927,0.34169981
19.0,0.03637966,0.04238949,0.0218009,0.0661532,0.10158828,0.04269915,0.13648981,0.14984996,0.15756192
20.0,0.00105918,0.00135435,0.0004029,0.00523009,0.00681914,0.00398553,0.02091397,0.02658075,0.02698402
21.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
22.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
23.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
24.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
