x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.71900071,0.73013536,0.73343285,0.88990356,0.846774,0.72912274,0.55979625,0.9238229,0.72311228
2.0,0.71049321,0.73283275,0.76302836,0.90213837,0.85273893,0.66220376,0.55597042,0.89401623,0.70325474
3.0,0.73844,0.71678406,0.77766739,0.88186637,0.83751147,0.64258171,0.54372062,0.84896899,0.68899965
4.0,0.67770893,0.7051713,0.76485527,0.88324415,0.85323373,0.63370239,0.53405813,0.83362841,0.67636526
5.0,0.67924357,0.68442754,0.74939927,0.86905644,0.88145453,0.58587932,0.52045208,0.83021159,0.68023158
6.0,0.66394321,0.65493406,0.73434012,0.88919807,0.86638533,0.58357829,0.53128708,0.79529942,0.62699333
7.0,0.6381369,0.62914522,0.71780861,0.87231881,0.87883387,0.56688821,0.53405813,0.80477652,0.58853649
8.0,0.53760893,0.6459629,0.66095782,0.85717274,0.87367653,0.54789094,0.47038229,0.78898957,0.57049825
9.0,0.4178169,0.63781986,0.48668218,0.84314237,0.85280573,0.46187607,0.42674479,0.55310986,0.57498211
10.0,0.36624107,0.50822754,0.44989976,0.77830593,0.7906892,0.41105009,0.36197979,0.46538435,0.54386316
11.0,0.34234238,0.37856333,0.42745406,0.68322785,0.67131533,0.40315846,0.28174,0.43181826,0.43560632
12.0,0.31951012,0.30242536,0.39543358,0.61112578,0.63782773,0.38888068,0.26460521,0.46537449,0.46069579
13.0,0.31116381,0.33392522,0.39707321,0.57974459,0.6351184,0.39157744,0.27349563,0.50247971,0.53547754
14.0,0.35106381,0.34200348,0.40878921,0.57859896,0.64269333,0.38120786,0.29914042,0.59169275,0.52020386
15.0,0.39524857,0.3760742,0.46946436,0.55148578,0.65036547,0.43162496,0.30341083,0.58823014,0.55655123
16.0,0.45288393,0.40020565,0.46895406,0.55419481,0.63441307,0.43693761,0.33513917,0.61251159,0.51450281
17.0,0.52608488,0.39595391,0.54147515,0.56229319,0.63184093,0.45005248,0.38154292,0.66521594,0.5136793
18.0,0.60016881,0.42926493,0.55609091,0.5494483,0.65001587,0.4510694,0.43496646,0.69539304,0.51491544
19.0,0.55836964,0.53522377,0.57988109,0.58272044,0.66536707,0.49416291,0.5689875,0.71121391,0.55141649
20.0,0.71809155,0.67455899,0.60405745,0.66210785,0.69640707,0.55165026,0.68742708,0.73224986,0.61234842
21.0,0.75203131,0.71225159,0.69241842,0.68368756,0.77098027,0.62132103,0.7099775,0.71452957,0.66846912
22.0,0.71926607,0.75545217,0.71822873,0.7102163,0.79754773,0.61478103,0.69998833,0.75008754,0.67984456
23.0,0.70798083,0.75621174,0.75515067,0.73983304,0.81757027,0.61497761,0.76658542,0.77605043,0.65605684
24.0,0.7183775,0.77662145,0.76185297,0.6963003,0.86373467,0.67775709,0.76248771,0.8274171,0.61683123
