x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,-0.0,-0.0,0.70909091,-0.0,0.72,0.1025641,0.75,0.04347826,0.63157895
2.0,-0.0,-0.0,0.69090909,-0.0,0.74,0.07692308,0.75,0.04347826,0.68421053
3.0,-0.0,-0.0,0.72727273,-0.0,0.76,0.07692308,0.71875,0.04347826,0.73684211
4.0,-0.0,-0.0,0.76363636,-0.0,0.84,0.07692308,0.78125,0.08695652,0.73684211
5.0,-0.0,-0.0,0.78181818,-0.0,0.76,0.1025641,0.8125,0.08695652,0.73684211
6.0,-0.0,-0.0,0.8,-0.0,0.8,0.1025641,0.84375,0.08695652,0.73684211
7.0,-0.0,-0.0,0.76363636,-0.0,0.78,0.07692308,0.875,0.08695652,0.78947368
8.0,-0.0,-0.0,0.72727273,-0.0,0.78,0.07692308,0.84375,0.0,0.78947368
9.0,-0.0,-0.0,0.70909091,-0.0,0.8,0.07692308,0.84375,0.0,0.73684211
10.0,-0.0,-0.0,0.74545455,-0.0,0.8,-0.0,0.90625,0.0,0.63157895
11.0,-0.0,-0.0,0.72727273,-0.0,0.8,0.05128205,0.84375,0.0,0.68421053
12.0,-0.0,-0.0,0.70909091,-0.0,0.44,0.02564103,0.75,0.0,0.36842105
13.0,-0.0,-0.0,0.49090909,-0.0,0.34,-0.0,0.5,0.0,0.31578947
14.0,-0.0,-0.0,0.01818182,-0.0,0.1,-0.0,0.125,0.0,0.05263158
15.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
16.0,0.16071429,0.2173913,-0.0,0.17777778,-0.0,-0.0,0.0,0.0,0.0
17.0,0.33928571,0.30434783,-0.0,0.24444444,-0.0,-0.0,0.0,0.04347826,0.0
18.0,0.46428571,0.39130435,-0.0,0.28888889,-0.0,0.05128205,0.0,0.13043478,0.0
19.0,0.51785714,0.56521739,-0.0,0.55555556,-0.0,0.12820513,0.0,0.08695652,0.0
20.0,0.57142857,0.63043478,-0.0,0.64444444,-0.0,0.1025641,0.0,0.08695652,0.0
21.0,0.625,0.73913043,-0.0,0.71111111,-0.0,0.1025641,0.0,0.13043478,0.0
22.0,0.69642857,0.82608696,-0.0,0.71111111,-0.0,0.07692308,0.0,0.26086957,0.0
23.0,0.71428571,0.80434783,-0.0,0.73333333,-0.0,0.1025641,0.0,0.26086957,0.0
24.0,0.75,0.7826087,-0.0,0.71111111,-0.0,0.1025641,0.0,0.26086957,0.0
