x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.00114088,0.0,0.00131551,0.0,0.0,0.00020277,6.481e-5,0.00114119,0.0
8.0,0.04843612,0.00521348,0.04971608,0.00338427,0.00740658,0.02107885,0.01117192,0.05930045,0.00238465
9.0,0.19999213,0.09870787,0.21680618,0.07823223,0.10421398,0.15601729,0.12817526,0.22996355,0.0887569
10.0,0.38542243,0.31639533,0.40743414,0.27577802,0.32724601,0.33938952,0.34494797,0.4207497,0.29434689
11.0,0.52362795,0.50461163,0.56526344,0.45835156,0.51712534,0.49040385,0.50207616,0.58081345,0.47276824
12.0,0.62762836,0.65571078,0.6838319,0.60980703,0.65193264,0.58145566,0.60633857,0.70379501,0.60665766
13.0,0.7098658,0.72034144,0.7348939,0.68610612,0.69667603,0.641351,0.66962829,0.75781006,0.69249217
14.0,0.73865461,0.72096884,0.75793484,0.69099294,0.72507615,0.63929155,0.68042212,0.72209591,0.6650946
15.0,0.6994035,0.6769476,0.71286949,0.66720473,0.70157063,0.65802178,0.65826073,0.70287579,0.64250976
16.0,0.6125102,0.57310492,0.62892109,0.57346337,0.60233686,0.59088667,0.57215068,0.61695922,0.58679343
17.0,0.48396203,0.42235338,0.49788818,0.41999097,0.43732082,0.47000741,0.42738601,0.50751239,0.41757164
18.0,0.31545422,0.21431008,0.33114581,0.22478173,0.23036355,0.28704557,0.22752374,0.33262481,0.21795526
19.0,0.13197656,0.03270024,0.1474551,0.04133826,0.04653487,0.10290525,0.05213612,0.13478355,0.0321684
20.0,0.02194366,0.00059592,0.02383483,0.00044204,0.00114519,0.00504226,0.00317893,0.01664098,0.00026621
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
