x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,9654.35253704,9854.02913096,9780.36543303,10263.94747609,10008.95048441,9885.12282568,11815.49219127,12862.99957522,12981.43324338
2.0,9165.21394106,9365.18160786,9310.66028428,9661.34915661,9519.19920073,9386.02015525,11184.14544412,12163.67135372,12275.48698582
3.0,8877.35044324,9053.50506901,9046.81442252,9308.59464249,9204.64231769,9092.66638316,10755.4875023,11668.35079159,11801.31130249
4.0,8737.53851804,8870.96921356,8920.60283595,9103.01346367,9034.8687184,8933.31107103,10506.31108091,11382.30301959,11521.58354068
5.0,8752.98957531,8827.36347877,8956.82394397,9085.77891952,9065.17707536,8936.51201804,10502.686903,11353.35817802,11489.95106964
6.0,9045.04373491,9008.58519189,9275.78905547,9345.71010663,9446.85041265,9215.12141457,10890.69760185,11688.52451002,11825.84351966
7.0,9698.39618233,9478.85257507,9988.5901459,9890.83135624,10122.54714899,9787.68593395,11436.72690444,12133.56925193,12263.46845122
8.0,10342.199036,9957.22611067,10683.70591765,10386.87296087,10445.55326988,10233.65366554,11654.23141771,12320.97083378,12445.37096736
9.0,10542.61794969,10156.69596531,10887.05928836,10726.0703199,10706.50143178,10469.21011228,12323.84160173,13084.62455924,13203.41361728
10.0,10782.13890181,10489.45959658,11089.46916156,11197.85825561,11183.79680421,10839.34152265,13307.11643674,14199.90697228,14292.15828084
11.0,11138.41050035,10923.97833716,11379.21078394,11728.88058391,11695.05623203,11233.77470543,14336.20190035,15348.71249421,15408.80385718
12.0,11475.59639832,11290.86809758,11607.26775921,12130.30020423,12109.06349806,11568.40633891,15219.95016758,16366.43685696,16385.49348762
13.0,11706.55870067,11557.11317006,11739.78480931,12401.95937693,12440.68862296,11822.6523182,15918.60391202,17154.29276122,17150.9393095
14.0,11901.19177674,11734.77936511,11820.10594653,12584.08271326,12771.5387595,12035.97320472,16529.65843912,17816.45253287,17804.29242903
15.0,12064.97437831,11879.43507697,11867.30402598,12707.05909998,13041.59626091,12229.76904479,16939.360964,18321.82317716,18286.29170588
16.0,12155.0392174,11951.55145112,11865.90097097,12726.01144778,13258.63683533,12376.21001014,17225.56655465,18644.51709449,18635.19638107
17.0,12182.15638838,11967.68630855,11830.91622922,12668.66222164,13365.05053176,12427.09147402,17277.24768428,18713.52079181,18714.86808807
18.0,12075.11508347,11870.35450086,11717.68955069,12528.05149135,13251.52055251,12320.89217607,16984.57148135,18467.9769034,18458.97210334
19.0,12046.04072427,11858.8012324,11786.41937911,12454.28877931,12914.46283622,12250.71495659,16297.12219455,17805.04077287,17825.58674684
20.0,12268.83973579,12078.92205099,12081.48604164,12630.41811371,12787.9428417,12368.89895027,15700.66449143,17139.92019965,17168.38587604
21.0,12178.33436515,12010.84121186,11974.68437595,12663.00009705,12804.05417084,12263.82371252,15441.73736415,16795.85349914,16825.79066089
22.0,11821.7062876,11672.76357957,11635.95430492,12386.48551355,12358.57652786,11896.73726353,14880.58744848,16196.79454433,16219.25307964
23.0,11233.94995434,11121.82908455,11064.9011623,11864.07532954,11587.89987772,11271.76073761,13884.40206991,15129.46745612,15166.25318932
24.0,10479.66542707,10383.66018586,10333.34780887,11155.44220433,10685.63202611,10511.63737577,12786.90991734,13982.13309529,14042.3691122
