x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,16550.93682579,12979.56034032,17096.61754737,12189.90883589,12619.31929914,12290.16888849,12841.28757057,15115.10579831,12671.2504164
2.0,15486.51510338,12381.64999608,15988.46724592,11490.43826599,11933.66987159,11619.59916254,12183.60642345,14116.15177029,12116.85472862
3.0,14743.3904977,12091.78658224,15199.96135845,11108.97148946,11561.39028807,11215.0771184,11828.85687449,13414.00888603,11836.07962246
4.0,14268.90163188,12006.14914737,14679.96301195,10935.5012277,11408.01108305,11031.76568291,11687.55495497,12966.8609431,11754.49654314
5.0,14139.37119241,12142.6648227,14496.0298622,10966.73039327,11492.47142686,11097.90976112,11780.7956434,12792.10136001,11872.52599695
6.0,14533.10626936,12682.72209018,14822.41406136,11343.02232443,11975.8972988,11639.25002312,12282.20471094,13113.92946638,12291.4859754
7.0,15355.87178684,13863.48968007,15512.62759476,12280.16837421,13126.44570583,12851.40027941,13358.32556677,13846.16023125,13230.8048034
8.0,15900.90383732,15233.49435519,15978.78282615,13432.29645228,14392.45389088,13728.22479895,14386.27215633,14334.85155791,14506.42572047
9.0,16839.35173929,15711.23895676,16939.13277736,13940.59104748,14834.41903349,14124.27229845,14816.40088361,15070.82032397,15244.63228586
10.0,18203.40088824,15637.88058879,18338.58020742,14144.6904245,14887.45419982,14518.86062854,15056.58256006,16101.1411589,15569.22699239
11.0,19784.07735,15532.13278155,19943.73890305,14365.83728049,15042.29472634,14922.40550094,15273.09274024,17274.49587707,15793.95614386
12.0,21313.37354253,15375.61270832,21486.85374741,14481.89543348,15140.77132655,15213.76332804,15405.49315966,18386.03328691,15863.37910454
13.0,22722.31747875,15145.61067702,22873.32042158,14503.40858374,15164.08579895,15423.19960753,15480.27459783,19426.53904221,15736.02408389
14.0,24027.63086905,14950.71615245,24120.10639778,14494.56212173,15199.41631187,15644.51631661,15587.6140894,20403.3154857,15527.17251315
15.0,24996.94822061,14799.6956316,25042.03106654,14481.93678149,15230.98362775,15806.35619899,15714.45671531,21231.26162143,15306.68688603
16.0,25620.35039867,14649.80783698,25650.31952219,14418.26911143,15210.04703863,15940.46657873,15793.55172033,21902.19656959,15049.36650464
17.0,25892.73575627,14575.64338121,25865.02881169,14396.06263579,15197.02248576,16075.41387417,15855.77751951,22340.0153775,14907.75402915
18.0,25697.69572629,14579.46183591,25637.98813759,14436.08992239,15175.57525972,16071.29473891,15855.37103053,22333.45960066,14964.7411916
19.0,25004.63519576,14974.58725942,24917.44428865,14756.25448683,15355.67037,15912.52280787,15959.80955691,21720.05986661,15463.53033937
20.0,23894.25899855,15650.53178111,23819.43118167,15383.63618629,15783.52677886,15834.51501685,16191.65619399,20784.29703012,16335.36806901
21.0,23014.25404452,15671.22396284,22951.00270821,15444.86047684,15785.44023336,16022.64099295,16070.00251671,20301.08814482,16484.88773546
22.0,22077.24929781,15359.42986702,22046.88818461,15125.74671044,15381.30313937,15575.83834431,15625.92148703,19647.24278562,16305.70187677
23.0,20328.37424319,14637.80405927,20312.93606633,14455.33972759,14562.67666909,14520.53733765,14703.46251861,18163.70831487,15802.13177786
24.0,18455.58597778,13589.08002435,18441.79342069,13452.29047283,13412.13589039,13197.63037856,13529.91233133,16492.34646828,14901.12849357
