x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,8193.36652005,8226.19110546,8291.5137875,8607.08424738,8350.03332186,8398.47237039,10169.69107859,11078.13329799,11190.58306527
2.0,7660.22451081,7685.0741679,7781.76704282,8031.05819979,7816.82754682,7909.8908502,9497.60769505,10334.48581753,10426.40708463
3.0,7350.4997786,7348.36803399,7512.42755231,7683.4443458,7511.08349095,7603.11857547,9042.37431097,9797.59039047,9875.9155073
4.0,7191.66294446,7150.53348091,7397.76233997,7502.90349113,7341.11854289,7454.04726307,8762.29738847,9448.66720645,9512.96901141
5.0,7173.37075245,7079.90125409,7423.75729832,7473.65774904,7340.70679721,7434.22053471,8677.1477163,9292.99838711,9355.52105777
6.0,7406.5345444,7226.26795503,7715.21234899,7701.48252934,7658.74156907,7684.55555488,8943.27186898,9498.91062893,9551.07711146
7.0,8069.68698592,7718.02881506,8440.16996473,8296.17271696,8381.49256787,8286.37779566,9532.41467556,9964.54079127,9999.74338
8.0,8851.74525323,8323.5280893,9303.88602145,8960.62816932,8868.11552397,8876.27498737,9788.97958495,10164.00598333,10200.81513786
9.0,9111.29319005,8612.72425054,9559.63475025,9374.20798324,9123.65499302,9139.89078401,10248.40455611,10796.40861496,10864.77580955
10.0,9232.59320508,8890.21966454,9589.74517932,9777.09317915,9485.48275346,9405.11381863,11001.88309548,11752.64686925,11830.55074289
11.0,9442.17743973,9233.03898235,9651.42443143,10194.97010352,9873.44624529,9663.27015854,11851.74693424,12818.75029611,12890.18323617
12.0,9629.22647174,9518.973604,9698.03214954,10500.70279435,10192.69868237,9863.14230684,12658.9461421,13804.61273282,13891.33517991
13.0,9792.97905694,9725.18158993,9714.53804731,10698.59417147,10466.56272728,10011.54659147,13393.95848191,14690.72080956,14809.48622695
14.0,9949.54794769,9904.31324581,9749.34699575,10878.95419081,10753.73093365,10163.69718134,14073.09876979,15473.33943727,15610.92052553
15.0,10094.306557,10052.82413918,9803.33006446,10990.35397621,11005.8409,10304.82402884,14640.87709027,16088.47658234,16242.41777551
16.0,10215.35271146,10170.88770065,9849.22315833,11086.79583384,11213.75913649,10433.94376015,15084.47257344,16516.92022652,16646.56019393
17.0,10298.56236455,10242.93524562,9889.27685137,11135.20915864,11358.3625703,10531.31429943,15353.12245416,16747.10330138,16825.42778935
18.0,10298.79746719,10235.28395915,9895.85084276,11137.05552401,11351.56626069,10534.45965288,15284.56179109,16663.34519786,16716.25563191
19.0,10317.36295837,10229.99417578,10012.54496238,11158.14738454,11183.35254624,10535.58306484,14842.22764103,16225.12750518,16312.68890745
20.0,10640.70994837,10516.50076781,10459.38288921,11422.51188592,11056.75120971,10754.11885928,14236.72164386,15543.82721117,15609.69459572
21.0,10650.37751589,10533.177492,10474.880753,11533.20277412,11155.07999797,10711.97099376,13922.43116984,15099.04349547,15140.51666528
22.0,10313.60620872,10202.03642749,10186.73596208,11297.54826292,10771.91491039,10380.08172097,13421.55379144,14544.28270757,14585.84270472
23.0,9730.73236253,9642.76447391,9640.27982892,10752.38070418,10009.59271312,9769.70686767,12414.67832409,13463.31247701,13503.76826158
24.0,8947.40377502,8881.34960855,8893.88913578,9975.97160078,9058.6167869,8978.09200484,11245.61700028,12235.10758601,12278.66976427
