x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,4775.7146763,4178.92046487,4825.83125298,4065.11454253,4131.06783493,3998.44440047,4121.89735544,4558.42314428,4185.22327829
2.0,4573.47005736,4072.51531412,4620.15270602,3952.91781828,4015.12195221,3884.36688487,4014.98768913,4367.35931408,4092.87826631
3.0,4432.20493522,4029.42434448,4472.87339145,3890.88509607,3956.3001019,3823.40581155,3962.64716668,4236.83245422,4050.47563411
4.0,4336.66311569,4021.27524334,4373.81568441,3866.20406795,3934.83765553,3798.84607991,3942.35853327,4146.67226812,4041.30356224
5.0,4289.78504599,4051.16274828,4320.71584851,3878.24289186,3949.89133793,3810.28181685,3958.3659559,4103.01738231,4067.57542635
6.0,4324.04751227,4133.60453131,4342.86233359,3938.94727841,4021.22816591,3892.56962837,4035.53562211,4128.86143367,4131.90631517
7.0,4453.40153139,4331.3010904,4448.75798427,4097.16095839,4208.86857245,4092.30188654,4222.14434163,4239.53123891,4285.01534975
8.0,4534.82701261,4576.36642456,4516.15411198,4301.06535386,4433.54111022,4247.84812071,4411.59523198,4291.42001675,4506.1319549
9.0,4715.86879815,4680.26717537,4709.50458083,4398.42015759,4527.29550671,4310.32223515,4496.78301994,4438.39543751,4647.9106513
10.0,4978.35643855,4669.93122646,4986.62461259,4425.31480154,4538.32130874,4372.52632144,4539.36510877,4649.58150921,4702.86344725
11.0,5267.35423936,4641.76260434,5290.578463,4454.02176398,4554.95156144,4432.7664619,4565.69640622,4873.20220126,4735.32443241
12.0,5555.90650302,4600.29876468,5597.9386396,4464.43288273,4560.0198434,4474.38495945,4572.74582507,5097.59908178,4729.53555175
13.0,5810.51045929,4540.46010648,5865.68664151,4455.97142849,4547.08263046,4499.07238989,4572.93877452,5309.16714075,4694.49677969
14.0,6066.68685737,4495.8775584,6132.02805929,4450.07069012,4552.88145267,4553.25858118,4590.20434902,5539.23394959,4650.28377085
15.0,6263.20955249,4480.69509351,6340.76197878,4459.52165569,4573.58402947,4612.40308557,4614.01964805,5737.74521337,4622.42450173
16.0,6401.48803112,4474.47112006,6497.6032276,4463.10540778,4595.09353695,4672.8356788,4645.91077537,5904.78971413,4587.44417149
17.0,6472.03956343,4485.68450232,6581.78369017,4476.67177884,4621.78655047,4725.66883443,4683.54016722,6012.69409887,4576.62156876
18.0,6406.51549098,4485.13587173,6525.53469439,4485.43540523,4619.64327455,4717.01518274,4683.44969579,5996.96940883,4586.02879859
19.0,6278.94140878,4499.45775455,6396.16125484,4499.15612906,4605.59255005,4680.47243058,4669.35510138,5875.68018286,4634.97324346
20.0,6097.04332466,4634.98458103,6204.73205118,4616.22426108,4684.97429237,4640.600285,4720.80942224,5690.49745816,4782.05326547
21.0,5906.74853435,4667.40087098,5995.36606882,4666.08062101,4710.61822411,4675.92057636,4712.94388217,5531.23620798,4838.71614851
22.0,5747.01652378,4614.47062758,5835.27661032,4608.54820912,4640.44578779,4605.70266887,4639.85583469,5410.03833547,4808.89136736
23.0,5422.45470153,4481.75477199,5509.25233889,4488.14226446,4494.68051052,4410.24519322,4474.10766764,5128.20931826,4709.43237263
24.0,5064.20162258,4292.27448479,5143.99304881,4298.79127778,4286.3367883,4159.13070021,4260.12629885,4805.28042941,4532.7361304
