"Time stamp","System power before grid curtailment | (kW)"
"Jan 1, 12:00 am",-587.4
"Jan 1, 01:00 am",-587.4
"Jan 1, 02:00 am",-587.4
"Jan 1, 03:00 am",-587.4
"Jan 1, 04:00 am",-587.4
"Jan 1, 05:00 am",-587.4
"Jan 1, 06:00 am",-587.4
"Jan 1, 07:00 am",-587.4
"Jan 1, 08:00 am",-587.4
"Jan 1, 09:00 am",-587.4
"Jan 1, 10:00 am",-587.4
"Jan 1, 11:00 am",-587.4
"Jan 1, 12:00 pm",-587.4
"Jan 1, 01:00 pm",-587.4
"Jan 1, 02:00 pm",-587.4
"Jan 1, 03:00 pm",-1006.04
"Jan 1, 04:00 pm",-1006.04
"Jan 1, 05:00 pm",-3797.01
"Jan 1, 06:00 pm",69791.7
"Jan 1, 07:00 pm",106282
"Jan 1, 08:00 pm",105977
"Jan 1, 09:00 pm",105974
"Jan 1, 10:00 pm",105777
"Jan 1, 11:00 pm",105619
"Jan 2, 12:00 am",105372
"Jan 2, 01:00 am",105367
"Jan 2, 02:00 am",105367
"Jan 2, 03:00 am",105367
"Jan 2, 04:00 am",105386
"Jan 2, 05:00 am",105605
"Jan 2, 06:00 am",105597
"Jan 2, 07:00 am",105651
"Jan 2, 08:00 am",95452.5
"Jan 2, 09:00 am",63540.7
"Jan 2, 10:00 am",-875.213
"Jan 2, 11:00 am",-1006.04
"Jan 2, 12:00 pm",-587.4
"Jan 2, 01:00 pm",-587.4
"Jan 2, 02:00 pm",-587.4
"Jan 2, 03:00 pm",-587.4
"Jan 2, 04:00 pm",-587.4
"Jan 2, 05:00 pm",-587.4
"Jan 2, 06:00 pm",-587.4
"Jan 2, 07:00 pm",-587.4
"Jan 2, 08:00 pm",-587.4
"Jan 2, 09:00 pm",-587.4
"Jan 2, 10:00 pm",-587.4
"Jan 2, 11:00 pm",-587.4
"Jan 3, 12:00 am",-587.4
"Jan 3, 01:00 am",-587.4
"Jan 3, 02:00 am",-587.4
"Jan 3, 03:00 am",-587.4
"Jan 3, 04:00 am",-587.4
"Jan 3, 05:00 am",-587.4
"Jan 3, 06:00 am",-587.4
"Jan 3, 07:00 am",-587.4
"Jan 3, 08:00 am",-587.4
"Jan 3, 09:00 am",-587.4
"Jan 3, 10:00 am",-587.4
"Jan 3, 11:00 am",-587.4
"Jan 3, 12:00 pm",-587.4
"Jan 3, 01:00 pm",-587.4
"Jan 3, 02:00 pm",-587.4
"Jan 3, 03:00 pm",-1006.04
"Jan 3, 04:00 pm",-1006.04
"Jan 3, 05:00 pm",-3779.11
"Jan 3, 06:00 pm",84423.5
"Jan 3, 07:00 pm",107383
"Jan 3, 08:00 pm",107363
"Jan 3, 09:00 pm",107363
"Jan 3, 10:00 pm",106067
"Jan 3, 11:00 pm",106066
"Jan 4, 12:00 am",105962
"Jan 4, 01:00 am",105840
"Jan 4, 02:00 am",105677
"Jan 4, 03:00 am",105677
"Jan 4, 04:00 am",105677
"Jan 4, 05:00 am",105891
"Jan 4, 06:00 am",105901
"Jan 4, 07:00 am",105758
"Jan 4, 08:00 am",90056.1
"Jan 4, 09:00 am",56472.7
"Jan 4, 10:00 am",-875.213
"Jan 4, 11:00 am",-1006.04
"Jan 4, 12:00 pm",-587.4
"Jan 4, 01:00 pm",-587.4
"Jan 4, 02:00 pm",-587.4
"Jan 4, 03:00 pm",-587.4
"Jan 4, 04:00 pm",-587.4
"Jan 4, 05:00 pm",-587.4
"Jan 4, 06:00 pm",-587.4
"Jan 4, 07:00 pm",-587.4
"Jan 4, 08:00 pm",-587.4
"Jan 4, 09:00 pm",-587.4
"Jan 4, 10:00 pm",-587.4
"Jan 4, 11:00 pm",-587.4
"Jan 5, 12:00 am",-587.4
"Jan 5, 01:00 am",-587.4
"Jan 5, 02:00 am",-587.4
"Jan 5, 03:00 am",-587.4
"Jan 5, 04:00 am",-587.4
"Jan 5, 05:00 am",-587.4
"Jan 5, 06:00 am",-587.4
"Jan 5, 07:00 am",-587.4
"Jan 5, 08:00 am",-587.4
"Jan 5, 09:00 am",-587.4
"Jan 5, 10:00 am",-587.4
"Jan 5, 11:00 am",-587.4
"Jan 5, 12:00 pm",-587.4
"Jan 5, 01:00 pm",-587.4
"Jan 5, 02:00 pm",-587.4
"Jan 5, 03:00 pm",-1006.04
"Jan 5, 04:00 pm",-1006.04
"Jan 5, 05:00 pm",-3757.74
"Jan 5, 06:00 pm",88921.8
"Jan 5, 07:00 pm",107409
"Jan 5, 08:00 pm",107417
"Jan 5, 09:00 pm",107295
"Jan 5, 10:00 pm",107285
"Jan 5, 11:00 pm",107276
"Jan 6, 12:00 am",105900
"Jan 6, 01:00 am",105900
"Jan 6, 02:00 am",105769
"Jan 6, 03:00 am",105769
"Jan 6, 04:00 am",105768
"Jan 6, 05:00 am",105900
"Jan 6, 06:00 am",105900
"Jan 6, 07:00 am",107440
"Jan 6, 08:00 am",89148.9
"Jan 6, 09:00 am",55758.5
"Jan 6, 10:00 am",-875.213
"Jan 6, 11:00 am",-1006.04
"Jan 6, 12:00 pm",-587.4
"Jan 6, 01:00 pm",-587.4
"Jan 6, 02:00 pm",-587.4
"Jan 6, 03:00 pm",-587.4
"Jan 6, 04:00 pm",-587.4
"Jan 6, 05:00 pm",-587.4
"Jan 6, 06:00 pm",-587.4
"Jan 6, 07:00 pm",-587.4
"Jan 6, 08:00 pm",-587.4
"Jan 6, 09:00 pm",-587.4
"Jan 6, 10:00 pm",-587.4
"Jan 6, 11:00 pm",-587.4
"Jan 7, 12:00 am",-587.4
"Jan 7, 01:00 am",-587.4
"Jan 7, 02:00 am",-587.4
"Jan 7, 03:00 am",-587.4
"Jan 7, 04:00 am",-587.4
"Jan 7, 05:00 am",-587.4
"Jan 7, 06:00 am",-587.4
"Jan 7, 07:00 am",-587.4
"Jan 7, 08:00 am",-587.4
"Jan 7, 09:00 am",-587.4
"Jan 7, 10:00 am",-587.4
"Jan 7, 11:00 am",-587.4
"Jan 7, 12:00 pm",-587.4
"Jan 7, 01:00 pm",-587.4
"Jan 7, 02:00 pm",-587.4
"Jan 7, 03:00 pm",-1006.04
"Jan 7, 04:00 pm",-1006.04
"Jan 7, 05:00 pm",-3761.62
"Jan 7, 06:00 pm",42484.9
"Jan 7, 07:00 pm",100232
"Jan 7, 08:00 pm",104993
"Jan 7, 09:00 pm",104951
"Jan 7, 10:00 pm",104401
"Jan 7, 11:00 pm",104401
"Jan 8, 12:00 am",104120
"Jan 8, 01:00 am",104115
"Jan 8, 02:00 am",103793
"Jan 8, 03:00 am",103790
"Jan 8, 04:00 am",103788
"Jan 8, 05:00 am",103924
"Jan 8, 06:00 am",102329
"Jan 8, 07:00 am",-875.213
"Jan 8, 08:00 am",-875.213
"Jan 8, 09:00 am",-2650.08
"Jan 8, 10:00 am",-875.213
"Jan 8, 11:00 am",-1006.04
"Jan 8, 12:00 pm",-587.4
"Jan 8, 01:00 pm",-587.4
"Jan 8, 02:00 pm",-587.4
"Jan 8, 03:00 pm",-587.4
"Jan 8, 04:00 pm",-587.4
"Jan 8, 05:00 pm",-587.4
"Jan 8, 06:00 pm",-587.4
"Jan 8, 07:00 pm",-587.4
"Jan 8, 08:00 pm",-587.4
"Jan 8, 09:00 pm",-587.4
"Jan 8, 10:00 pm",-587.4
"Jan 8, 11:00 pm",-587.4
"Jan 9, 12:00 am",-587.4
"Jan 9, 01:00 am",-587.4
