"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",0.0408331
"Jan 1, 08:00 am",0.297024
"Jan 1, 08:30 am",0.653538
"Jan 1, 09:00 am",1.14166
"Jan 1, 09:30 am",1.51362
"Jan 1, 10:00 am",1.81574
"Jan 1, 10:30 am",2.13605
"Jan 1, 11:00 am",2.23182
"Jan 1, 11:30 am",1.84011
"Jan 1, 12:00 pm",2.41587
"Jan 1, 12:30 pm",2.09376
"Jan 1, 01:00 pm",2.78801
"Jan 1, 01:30 pm",2.94908
"Jan 1, 02:00 pm",2.0362
"Jan 1, 02:30 pm",2.38833
"Jan 1, 03:00 pm",2.73731
"Jan 1, 03:30 pm",2.25833
"Jan 1, 04:00 pm",1.66397
"Jan 1, 04:30 pm",0.762574
"Jan 1, 05:00 pm",0.278264
"Jan 1, 05:30 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",0.019079
"Jan 2, 08:00 am",0.0435954
"Jan 2, 08:30 am",0.0925564
"Jan 2, 09:00 am",0.34869
"Jan 2, 09:30 am",0.446467
"Jan 2, 10:00 am",0.337382
"Jan 2, 10:30 am",0.522567
"Jan 2, 11:00 am",0.57007
"Jan 2, 11:30 am",0.645683
"Jan 2, 12:00 pm",0.673796
"Jan 2, 12:30 pm",0.789124
"Jan 2, 01:00 pm",0.728895
"Jan 2, 01:30 pm",0.704144
"Jan 2, 02:00 pm",0.593825
"Jan 2, 02:30 pm",0.487782
"Jan 2, 03:00 pm",0.404387
"Jan 2, 03:30 pm",0.261572
"Jan 2, 04:00 pm",0.123767
"Jan 2, 04:30 pm",0.071374
"Jan 2, 05:00 pm",0.0303017
"Jan 2, 05:30 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",0.0814807
"Jan 3, 08:00 am",0.492386
"Jan 3, 08:30 am",1.17428
"Jan 3, 09:00 am",2.07976
"Jan 3, 09:30 am",2.61751
"Jan 3, 10:00 am",3.0436
"Jan 3, 10:30 am",3.39537
"Jan 3, 11:00 am",3.645
"Jan 3, 11:30 am",3.83062
"Jan 3, 12:00 pm",3.93737
"Jan 3, 12:30 pm",3.96227
"Jan 3, 01:00 pm",3.90436
"Jan 3, 01:30 pm",3.76905
"Jan 3, 02:00 pm",3.54544
"Jan 3, 02:30 pm",3.24509
"Jan 3, 03:00 pm",2.85634
"Jan 3, 03:30 pm",2.40843
"Jan 3, 04:00 pm",1.85368
"Jan 3, 04:30 pm",1.24657
"Jan 3, 05:00 pm",0.603977
"Jan 3, 05:30 pm",0.0594888
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",0.112488
"Jan 4, 08:00 am",0.708148
"Jan 4, 08:30 am",1.41856
"Jan 4, 09:00 am",1.99121
"Jan 4, 09:30 am",2.53817
"Jan 4, 10:00 am",2.73039
"Jan 4, 10:30 am",3.15142
"Jan 4, 11:00 am",3.52197
"Jan 4, 11:30 am",3.69005
"Jan 4, 12:00 pm",3.52886
"Jan 4, 12:30 pm",3.12347
"Jan 4, 01:00 pm",2.96414
"Jan 4, 01:30 pm",2.52754
"Jan 4, 02:00 pm",3.1946
"Jan 4, 02:30 pm",3.10383
"Jan 4, 03:00 pm",2.4939
"Jan 4, 03:30 pm",2.1787
"Jan 4, 04:00 pm",1.74032
"Jan 4, 04:30 pm",0.967788
"Jan 4, 05:00 pm",0.408658
"Jan 4, 05:30 pm",0.0239723
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
