Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s)
2012,1,1,0,0,2,358.791,15.213
2012,1,1,0,5,2,358.725,14.792
2012,1,1,0,10,2,358.121,14.523
2012,1,1,0,15,1.999,357.088,14.197
2012,1,1,0,20,1.999,356.099,13.836
2012,1,1,0,25,1.998,355.21,13.467
2012,1,1,0,30,1.995,354.38,13.07
2012,1,1,0,35,1.991,353.518,12.72
2012,1,1,0,40,1.99,353.067,12.524
2012,1,1,0,45,1.989,353.414,12.5
2012,1,1,0,50,1.99,354.402,12.616
2012,1,1,0,55,1.993,355.825,12.857
2012,1,1,1,0,1.995,357.501,13.092
2012,1,1,1,5,1.997,359.149,13.272
2012,1,1,1,10,1.998,0.582,13.339
2012,1,1,1,15,1.998,1.736,13.312
2012,1,1,1,20,1.997,2.593,13.242
2012,1,1,1,25,1.996,3.065,13.12
2012,1,1,1,30,1.994,3.164,12.952
2012,1,1,1,35,1.992,2.867,12.747
2012,1,1,1,40,1.99,2.554,12.604
2012,1,1,1,45,1.989,2.368,12.506
2012,1,1,1,50,1.989,2.335,12.445
2012,1,1,1,55,1.989,2.197,12.445
2012,1,1,2,0,1.989,1.747,12.445
2012,1,1,2,5,1.988,0.934,12.354
2012,1,1,2,10,1.974,359.819,12.115
2012,1,1,2,15,1.95,358.27,11.703
2012,1,1,2,20,1.909,356.49,11.224
2012,1,1,2,25,1.85,355.463,10.944
2012,1,1,2,30,1.844,355.315,10.916
2012,1,1,2,35,1.86,356.073,10.989
2012,1,1,2,40,1.854,356.891,10.962
2012,1,1,2,45,1.842,357.583,10.901
2012,1,1,2,50,1.838,358.391,10.883
2012,1,1,2,55,1.828,359.314,10.834
2012,1,1,3,0,1.789,0.099,10.648
2012,1,1,3,5,1.709,0.242,10.272
2012,1,1,3,10,1.528,359.666,9.772
2012,1,1,3,15,1.409,359.232,9.442
2012,1,1,3,20,1.378,359.468,9.354
2012,1,1,3,25,1.391,0.154,9.39
2012,1,1,3,30,1.351,0.226,9.281
2012,1,1,3,35,1.262,0.012,9.046
2012,1,1,3,40,1.18,0.242,8.829
2012,1,1,3,45,1.126,0.61,8.688
2012,1,1,3,50,1.105,0.846,8.633
2012,1,1,3,55,1.103,0.764,8.627
2012,1,1,4,0,1.127,0.632,8.688
2012,1,1,4,5,1.149,0.61,8.746
2012,1,1,4,10,1.161,0.737,8.777
2012,1,1,4,15,1.156,0.781,8.762
2012,1,1,4,20,1.141,0.654,8.722
2012,1,1,4,25,1.127,0.682,8.685
2012,1,1,4,30,1.159,1.27,8.768
2012,1,1,4,35,1.279,2.544,9.082
2012,1,1,4,40,1.457,4.247,9.564
2012,1,1,4,45,1.577,5.521,9.897
2012,1,1,4,50,1.66,6.41,10.126
2012,1,1,4,55,1.725,7.185,10.333
2012,1,1,5,0,1.757,7.806,10.483
2012,1,1,5,5,1.764,8.163,10.516
2012,1,1,5,10,1.755,8.449,10.474
2012,1,1,5,15,1.728,8.438,10.345
2012,1,1,5,20,1.711,8.366,10.266
2012,1,1,5,25,1.703,8.328,10.242
2012,1,1,5,30,1.664,7.971,10.132
2012,1,1,5,35,1.635,7.581,10.052
2012,1,1,5,40,1.6,7.086,9.955
2012,1,1,5,45,1.574,6.691,9.882
2012,1,1,5,50,1.586,6.674,9.915
2012,1,1,5,55,1.603,6.581,9.961
2012,1,1,6,0,1.647,6.433,10.083
2012,1,1,6,5,1.688,6.153,10.193
2012,1,1,6,10,1.715,5.928,10.278
2012,1,1,6,15,1.724,5.79,10.318
2012,1,1,6,20,1.73,5.922,10.345
2012,1,1,6,25,1.736,6.092,10.373
2012,1,1,6,30,1.741,6.164,10.397
