Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,657124,-,-,-,29.41,-98.5,-6,201,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2012,1,1,0,0,0,0,0,0,0,0,0,7,169.51,0,0.148,1.5,1.385,312.1,78.48,11,990.0
2012,1,1,0,30,0,0,0,0,0,0,0,7,173.43,0,0.148,2.6,1.423,312.1,83.95,11,990.0
2012,1,1,1,0,0,0,0,0,0,0,0,7,171.83,0,0.148,3.7,1.461,349.5,82.87,11,990.0
2012,1,1,1,30,0,0,0,0,0,0,0,7,166.57,0,0.148,4.6000000000000005,1.3980000000000001,349.5,82.93,11,990.0
2012,1,1,2,0,0,0,0,0,0,0,0,5,160.41,0,0.148,5.5,1.336,1.8,71.07000000000001,11,1000.0
2012,1,1,2,30,0,0,0,0,0,0,0,5,153.99,0,0.148,5.9,1.22,1.8,76.0,10,1000.0
2012,1,1,3,0,0,0,0,0,0,0,0,2,147.48,0,0.148,6.4,1.104,10.200000000000001,64.82000000000001,10,1000.0
2012,1,1,3,30,0,0,0,0,0,0,0,2,140.95000000000002,0,0.148,6.6000000000000005,1.054,10.200000000000001,69.38,9,1000.0
2012,1,1,4,0,0,0,0,0,0,0,0,0,134.43,0,0.148,6.9,1.004,15.200000000000001,55.230000000000004,8,1000.0
2012,1,1,4,30,0,0,0,0,0,0,0,0,127.94,0,0.148,6.7,0.982,15.200000000000001,59.15,7,1000.0
2012,1,1,5,0,0,0,0,0,0,0,0,0,121.48,0,0.148,6.5,0.961,14.9,56.82,7,1000.0
