"Time stamp","System power before grid curtailment | (kW)"
"Jan 1, 12:00 am",-0.00116655
"Jan 1, 12:30 am",-0.00116655
"Jan 1, 01:00 am",-0.00116655
"Jan 1, 01:30 am",-0.00116655
"Jan 1, 02:00 am",-0.00116655
"Jan 1, 02:30 am",-0.00116655
"Jan 1, 03:00 am",-0.00116655
"Jan 1, 03:30 am",-0.00116655
"Jan 1, 04:00 am",-0.00116655
"Jan 1, 04:30 am",-0.00116655
"Jan 1, 05:00 am",-0.00116655
"Jan 1, 05:30 am",-0.00116655
"Jan 1, 06:00 am",-0.00116655
"Jan 1, 06:30 am",-0.00116655
"Jan 1, 07:00 am",-0.00116655
"Jan 1, 07:30 am",-0.00116655
"Jan 1, 08:00 am",0.464467
"Jan 1, 08:30 am",1.084
"Jan 1, 09:00 am",1.68894
"Jan 1, 09:30 am",2.2274
"Jan 1, 10:00 am",2.68781
"Jan 1, 10:30 am",3.03793
"Jan 1, 11:00 am",3.32875
"Jan 1, 11:30 am",3.53025
"Jan 1, 12:00 pm",3.6583
"Jan 1, 12:30 pm",3.71644
"Jan 1, 01:00 pm",3.69759
"Jan 1, 01:30 pm",3.59971
"Jan 1, 02:00 pm",3.41608
"Jan 1, 02:30 pm",3.18003
"Jan 1, 03:00 pm",2.84038
"Jan 1, 03:30 pm",2.45538
"Jan 1, 04:00 pm",1.96267
"Jan 1, 04:30 pm",1.40973
"Jan 1, 05:00 pm",0.801715
"Jan 1, 05:30 pm",0.153656
"Jan 1, 06:00 pm",-0.00116655
"Jan 1, 06:30 pm",-0.00116655
"Jan 1, 07:00 pm",-0.00116655
"Jan 1, 07:30 pm",-0.00116655
"Jan 1, 08:00 pm",-0.00116655
"Jan 1, 08:30 pm",-0.00116655
"Jan 1, 09:00 pm",-0.00116655
"Jan 1, 09:30 pm",-0.00116655
"Jan 1, 10:00 pm",-0.00116655
"Jan 1, 10:30 pm",-0.00116655
"Jan 1, 11:00 pm",-0.00116655
"Jan 1, 11:30 pm",-0.00116655
"Jan 2, 12:00 am",-0.00116655
"Jan 2, 12:30 am",-0.00116655
"Jan 2, 01:00 am",-0.00116655
"Jan 2, 01:30 am",-0.00116655
"Jan 2, 02:00 am",-0.00116655
"Jan 2, 02:30 am",-0.00116655
"Jan 2, 03:00 am",-0.00116655
"Jan 2, 03:30 am",-0.00116655
"Jan 2, 04:00 am",-0.00116655
