Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,559413,-,-,-,32.01,-102.1,-6,844,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,0,0,7,-6,165.45000000000002,0,0.156,1.9000000000000001,2.071,136.6,80.06,-4,920.0
2015,1,1,0,30,0,0,0,0,0,0,7,-6,169.8,0,0.156,1.9000000000000001,2.078,136.6,80.04,-4,920.0
2015,1,1,1,0,0,0,0,0,0,0,7,-6,170.82,0,0.156,1.9000000000000001,2.085,150.6,81.56,-4,920.0
2015,1,1,1,30,0,0,0,0,0,0,7,-6,167.65,0,0.156,1.9000000000000001,2.082,150.6,81.54,-3,920.0
2015,1,1,2,0,0,0,0,0,0,0,7,-6,162.43,0,0.156,2.0,2.079,158.60000000000002,83.14,-3,920.0
2015,1,1,2,30,0,0,0,0,0,0,7,-6,156.5,0,0.156,2.0,2.089,158.60000000000002,77.12,-3,920.0
2015,1,1,3,0,0,0,0,0,0,0,4,-6,150.3,0,0.156,2.1,2.099,147.6,78.83,-3,920.0
2015,1,1,3,30,0,0,0,0,0,0,7,-6,143.99,0,0.156,2.3000000000000003,2.102,147.6,78.79,-3,920.0
2015,1,1,4,0,0,0,0,0,0,0,7,-5,137.64000000000001,0,0.156,2.5,2.105,132.4,80.43,-3,920.0
2015,1,1,4,30,0,0,0,0,0,0,7,-5,131.29,0,0.156,2.5,2.084,132.4,80.4,-3,920.0
2015,1,1,5,0,0,0,0,0,0,0,7,-5,124.96000000000001,0,0.156,2.5,2.064,129.9,81.88,-3,920.0
2015,1,1,5,30,0,0,0,0,0,0,7,-5,118.68,0,0.156,2.1,2.07,129.9,81.9,-3,920.0
2015,1,1,6,0,0,0,0,0,0,0,7,-5,112.46000000000001,0,0.156,1.8,2.076,136.9,83.24,-3,920.0
2015,1,1,6,30,0,0,0,0,0,0,7,-5,106.34,0,0.156,1.8,2.059,136.9,83.25,-3,920.0
2015,1,1,7,0,0,0,0,0,0,0,7,-5,100.33,0,0.156,1.8,2.041,124.4,84.14,-3,920.0
2015,1,1,7,30,0,0,0,0,0,0,7,-5,94.46000000000001,0,0.156,2.0,1.953,124.4,84.14,-3,920.0
2015,1,1,8,0,1,0,1,11,42,12,7,-5,88.76,4,0.156,2.2,1.865,119.9,85.12,-3,920.0
2015,1,1,8,30,8,0,8,45,275,77,7,-5,83.28,0,0.156,1.9000000000000001,1.758,119.9,79.05,-2,920.0
2015,1,1,9,0,27,0,27,70,448,163,7,-4,78.05,0,0.156,1.7000000000000002,1.651,131.0,80.72,-2,920.0
2015,1,1,9,30,88,0,88,88,566,252,7,-4,73.15,0,0.156,1.6,1.571,131.0,80.73,-2,920.0
2015,1,1,10,0,75,0,75,100,652,337,7,-4,68.64,0,0.156,1.5,1.492,155.0,82.7,-2,920.0
2015,1,1,10,30,172,35,187,109,710,414,7,-4,64.61,0,0.156,1.5,1.427,155.0,76.81,-1,920.0
2015,1,1,11,0,117,0,117,114,759,480,7,-4,61.15,0,0.156,1.5,1.363,171.20000000000002,78.7,-1,920.0
2015,1,1,11,30,144,0,144,119,788,532,7,-4,58.370000000000005,0,0.156,1.4000000000000001,1.315,171.20000000000002,78.64,-1,920.0
2015,1,1,12,0,198,13,205,121,810,570,7,-4,56.370000000000005,0,0.156,1.4000000000000001,1.2670000000000001,191.8,80.05,-1,920.0
2015,1,1,12,30,187,8,192,123,820,591,7,-4,55.24,0,0.156,1.2000000000000002,1.233,191.8,74.38,0,920.0
2015,1,1,13,0,177,5,180,122,826,596,7,-3,55.02,0,0.156,1.1,1.199,221.4,75.09,0,920.0
2015,1,1,13,30,172,4,174,121,821,584,7,-3,55.730000000000004,0,0.156,1.1,1.175,221.4,75.08,0,920.0
2015,1,1,14,0,252,220,371,118,812,556,7,-3,57.33,0,0.156,1.2000000000000002,1.151,258.0,81.04,-1,920.0
2015,1,1,14,30,228,90,274,114,791,512,7,-3,59.76,0,0.156,1.2000000000000002,1.129,258.0,81.04,-1,920.0
2015,1,1,15,0,90,0,90,108,758,454,6,-3,62.910000000000004,0,0.156,1.4000000000000001,1.107,275.90000000000003,80.75,-1,920.0
2015,1,1,15,30,154,26,165,101,712,382,7,-3,66.69,0,0.156,1.3,1.087,275.90000000000003,80.77,-1,920.0
2015,1,1,16,0,96,0,96,90,649,301,7,-3,70.99,0,0.156,1.3,1.067,283.7,80.3,-1,920.0
2015,1,1,16,30,54,0,54,76,553,212,7,-3,75.71000000000001,0,0.156,1.3,1.052,283.7,80.31,-1,920.0
2015,1,1,17,0,31,0,31,56,418,123,6,-4,80.79,4,0.156,1.3,1.037,307.1,79.55,-1,920.0
2015,1,1,17,30,10,0,10,28,193,41,6,-4,86.16,4,0.156,1.3,1.027,307.1,79.56,-1,920.0
2015,1,1,18,0,0,0,0,0,0,0,6,-4,91.77,0,0.156,1.4000000000000001,1.016,339.40000000000003,84.58,-2,920.0
2015,1,1,18,30,0,0,0,0,0,0,6,-4,97.56,0,0.156,1.4000000000000001,1.018,339.40000000000003,84.60000000000001,-2,920.0
2015,1,1,19,0,0,0,0,0,0,0,7,-4,103.51,0,0.156,1.4000000000000001,1.02,359.6,83.36,-2,920.0
2015,1,1,19,30,0,0,0,0,0,0,4,-4,109.58,0,0.156,1.3,1.059,359.6,83.37,-2,920.0
2015,1,1,20,0,0,0,0,0,0,0,4,-4,115.76,0,0.156,1.3,1.098,16.400000000000002,82.37,-2,920.0
2015,1,1,20,30,0,0,0,0,0,0,6,-4,122.01,0,0.156,1.4000000000000001,1.159,16.400000000000002,82.34,-2,920.0
2015,1,1,21,0,0,0,0,0,0,0,6,-4,128.32,0,0.156,1.5,1.22,32.7,81.68,-2,920.0
2015,1,1,21,30,0,0,0,0,0,0,6,-4,134.66,0,0.156,1.2000000000000002,1.28,32.7,81.68,-2,920.0
2015,1,1,22,0,0,0,0,0,0,0,6,-4,141.02,0,0.156,1.0,1.34,41.6,81.46000000000001,-2,920.0
2015,1,1,22,30,0,0,0,0,0,0,6,-4,147.35,0,0.156,0.7000000000000001,1.3960000000000001,41.6,81.47,-2,920.0
2015,1,1,23,0,0,0,0,0,0,0,6,-4,153.61,0,0.156,0.5,1.453,97.0,81.61,-2,920.0
2015,1,1,23,30,0,0,0,0,0,0,6,-4,159.68,0,0.156,0.6000000000000001,1.5010000000000001,97.0,81.60000000000001,-2,920.0
2015,1,2,0,0,0,0,0,0,0,0,7,-4,165.31,0,0.156,0.7000000000000001,1.549,70.7,81.78,-2,920.0
2015,1,2,0,30,0,0,0,0,0,0,7,-4,169.68,0,0.156,0.9,1.601,70.7,81.76,-2,920.0
2015,1,2,1,0,0,0,0,0,0,0,7,-4,170.76,0,0.156,1.2000000000000002,1.653,35.0,81.86,-2,920.0
2015,1,2,1,30,0,0,0,0,0,0,7,-4,167.65,0,0.156,1.3,1.73,35.0,81.85000000000001,-2,920.0
2015,1,2,2,0,0,0,0,0,0,0,7,-4,162.47,0,0.156,1.5,1.808,30.700000000000003,81.92,-2,920.0
2015,1,2,2,30,0,0,0,0,0,0,7,-4,156.56,0,0.156,1.5,1.8840000000000001,30.700000000000003,81.91,-2,920.0
2015,1,2,3,0,0,0,0,0,0,0,8,-4,150.37,0,0.156,1.6,1.96,31.700000000000003,82.12,-2,920.0
2015,1,2,3,30,0,0,0,0,0,0,4,-4,144.06,0,0.156,1.6,1.99,31.700000000000003,82.11,-2,920.0
2015,1,2,4,0,0,0,0,0,0,0,4,-4,137.71,0,0.156,1.7000000000000002,2.021,32.7,82.5,-2,920.0
2015,1,2,4,30,0,0,0,0,0,0,4,-4,131.35,0,0.156,1.7000000000000002,2.017,32.7,82.49,-2,920.0
2015,1,2,5,0,0,0,0,0,0,0,7,-4,125.02,0,0.156,1.7000000000000002,2.012,33.300000000000004,82.62,-2,920.0
2015,1,2,5,30,0,0,0,0,0,0,7,-4,118.74000000000001,0,0.156,1.7000000000000002,2.005,33.300000000000004,82.63,-2,920.0
2015,1,2,6,0,0,0,0,0,0,0,7,-4,112.52,0,0.156,1.8,1.998,32.800000000000004,82.67,-2,920.0
2015,1,2,6,30,0,0,0,0,0,0,7,-4,106.39,0,0.156,1.8,1.991,32.800000000000004,82.69,-2,920.0
2015,1,2,7,0,0,0,0,0,0,0,7,-4,100.38,0,0.156,1.9000000000000001,1.985,26.900000000000002,82.82000000000001,-2,920.0
2015,1,2,7,30,0,0,0,0,0,0,4,-4,94.5,0,0.156,2.1,1.985,26.900000000000002,82.84,-2,920.0
2015,1,2,8,0,0,0,0,11,56,12,7,-4,88.79,4,0.156,2.4000000000000004,1.985,23.200000000000003,83.98,-2,920.0
2015,1,2,8,30,3,0,3,42,309,78,7,-4,83.31,0,0.156,2.6,1.986,23.200000000000003,78.04,-1,920.0
2015,1,2,9,0,3,0,3,63,492,165,7,-4,78.07000000000001,0,0.156,2.9000000000000004,1.988,24.6,80.06,-1,920.0
2015,1,2,9,30,8,0,8,78,605,253,7,-4,73.16,0,0.156,2.9000000000000004,1.997,24.6,74.43,0,920.0
