"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",0
"Jan 1, 08:00 am",0.0452851
"Jan 1, 08:30 am",0.585776
"Jan 1, 09:00 am",1.38517
"Jan 1, 09:30 am",2.00176
"Jan 1, 10:00 am",2.53636
"Jan 1, 10:30 am",2.4831
"Jan 1, 11:00 am",1.6544
"Jan 1, 11:30 am",1.5277
"Jan 1, 12:00 pm",2.38263
"Jan 1, 12:30 pm",3.78329
"Jan 1, 01:00 pm",3.86188
"Jan 1, 01:30 pm",3.79497
"Jan 1, 02:00 pm",3.6411
"Jan 1, 02:30 pm",3.41397
"Jan 1, 03:00 pm",3.10651
"Jan 1, 03:30 pm",2.73699
"Jan 1, 04:00 pm",2.26859
"Jan 1, 04:30 pm",1.71148
"Jan 1, 05:00 pm",1.07307
"Jan 1, 05:30 pm",0.379674
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",0
"Jan 2, 08:00 am",0.0365435
"Jan 2, 08:30 am",0.261799
"Jan 2, 09:00 am",0.280495
"Jan 2, 09:30 am",0.230985
"Jan 2, 10:00 am",0.328319
"Jan 2, 10:30 am",0.42144
"Jan 2, 11:00 am",0.550852
"Jan 2, 11:30 am",0.57734
"Jan 2, 12:00 pm",0.587104
"Jan 2, 12:30 pm",1.00825
"Jan 2, 01:00 pm",1.1351
"Jan 2, 01:30 pm",1.33868
"Jan 2, 02:00 pm",1.989
"Jan 2, 02:30 pm",3.28599
"Jan 2, 03:00 pm",3.16047
"Jan 2, 03:30 pm",2.78602
"Jan 2, 04:00 pm",2.32276
"Jan 2, 04:30 pm",1.7454
"Jan 2, 05:00 pm",1.10522
"Jan 2, 05:30 pm",0.410749
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",0
"Jan 3, 08:00 am",0.0642088
"Jan 3, 08:30 am",0.542431
"Jan 3, 09:00 am",1.13396
"Jan 3, 09:30 am",2.04624
"Jan 3, 10:00 am",2.55624
"Jan 3, 10:30 am",2.9605
"Jan 3, 11:00 am",3.27671
"Jan 3, 11:30 am",3.49847
"Jan 3, 12:00 pm",3.63439
"Jan 3, 12:30 pm",3.70624
"Jan 3, 01:00 pm",3.69
"Jan 3, 01:30 pm",3.63454
"Jan 3, 02:00 pm",3.49066
"Jan 3, 02:30 pm",3.29055
"Jan 3, 03:00 pm",3.01417
"Jan 3, 03:30 pm",2.65871
"Jan 3, 04:00 pm",2.21595
"Jan 3, 04:30 pm",1.70488
"Jan 3, 05:00 pm",1.09485
"Jan 3, 05:30 pm",0.419737
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",0
"Jan 4, 08:00 am",0.0480874
"Jan 4, 08:30 am",0.357876
"Jan 4, 09:00 am",0.717221
"Jan 4, 09:30 am",1.29152
"Jan 4, 10:00 am",1.60948
"Jan 4, 10:30 am",1.84042
"Jan 4, 11:00 am",1.39042
"Jan 4, 11:30 am",1.18696
"Jan 4, 12:00 pm",1.9039
"Jan 4, 12:30 pm",2.83105
"Jan 4, 01:00 pm",2.41235
"Jan 4, 01:30 pm",1.47265
"Jan 4, 02:00 pm",1.26674
"Jan 4, 02:30 pm",0.799856
"Jan 4, 03:00 pm",0.825401
"Jan 4, 03:30 pm",0.683969
"Jan 4, 04:00 pm",0.500579
"Jan 4, 04:30 pm",0.595019
"Jan 4, 05:00 pm",0.34004
"Jan 4, 05:30 pm",0.10885
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
