time,year,ercot
"Jan 1, 12:00 am",2012,7514.83600046378
"Jan 1, 01:00 am",2012,7193.112688877765
"Jan 1, 02:00 am",2012,7021.684962707619
"Jan 1, 03:00 am",2012,6781.512933618406
"Jan 1, 04:00 am",2012,6631.366189275013
"Jan 1, 05:00 am",2012,6632.388973699966
"Jan 1, 06:00 am",2012,6784.177459552724
"Jan 1, 07:00 am",2012,7045.432147305676
"Jan 1, 08:00 am",2012,7313.105624528556
"Jan 1, 09:00 am",2012,7641.525145493377
"Jan 1, 10:00 am",2012,7973.355586374792
"Jan 1, 11:00 am",2012,8122.87169946411
"Jan 1, 12:00 pm",2012,8116.8121248373645
"Jan 1, 01:00 pm",2012,8078.977704100343
"Jan 1, 02:00 pm",2012,7938.545290887044
"Jan 1, 03:00 pm",2012,7788.88539109442
"Jan 1, 04:00 pm",2012,7740.6262019630285
"Jan 1, 05:00 pm",2012,7759.659986467325
"Jan 1, 06:00 pm",2012,8197.90304083769
"Jan 1, 07:00 pm",2012,9187.93480353199
"Jan 1, 08:00 pm",2012,9385.10148579433
"Jan 1, 09:00 pm",2012,9381.195429361198
"Jan 1, 10:00 pm",2012,9249.858170987283
"Jan 1, 11:00 pm",2012,8920.498336513527
"Jan 2, 12:00 am",2012,8479.292878958811
"Jan 2, 01:00 am",2012,8153.505753565171
"Jan 2, 02:00 am",2012,7986.489590753374
"Jan 2, 03:00 am",2012,7964.583286825991
"Jan 2, 04:00 am",2012,8052.437591473814
"Jan 2, 05:00 am",2012,8379.757785996651
"Jan 2, 06:00 am",2012,8970.565831801483
"Jan 2, 07:00 am",2012,9868.52952286892
"Jan 2, 08:00 am",2012,10336.450353645412
"Jan 2, 09:00 am",2012,10344.578529850229
"Jan 2, 10:00 am",2012,10307.221417616423
"Jan 2, 11:00 am",2012,10051.88840766488
"Jan 2, 12:00 pm",2012,9643.213666571071
"Jan 2, 01:00 pm",2012,9225.02974848323
"Jan 2, 02:00 pm",2012,8808.692223358323
"Jan 2, 03:00 pm",2012,8541.63737383658
"Jan 2, 04:00 pm",2012,8434.405581842571
"Jan 2, 05:00 pm",2012,8491.707369096332
"Jan 2, 06:00 pm",2012,9017.19588091612
"Jan 2, 07:00 pm",2012,10179.415530147538
"Jan 2, 08:00 pm",2012,10480.414928513137
"Jan 2, 09:00 pm",2012,10620.795524113359
"Jan 2, 10:00 pm",2012,10491.617184900659
"Jan 2, 11:00 pm",2012,10062.927176327032
"Jan 3, 12:00 am",2012,9491.307756153925
"Jan 3, 01:00 am",2012,9230.854496934742
"Jan 3, 02:00 am",2012,9169.313218671388
"Jan 3, 03:00 am",2012,9254.73454579483
"Jan 3, 04:00 am",2012,9440.233734432311
"Jan 3, 05:00 am",2012,9951.377554044337
"Jan 3, 06:00 am",2012,11011.045832879117
"Jan 3, 07:00 am",2012,12488.322248323177
"Jan 3, 08:00 am",2012,12897.657818346259
"Jan 3, 09:00 am",2012,12234.56198613509
"Jan 3, 10:00 am",2012,11346.134652494253
"Jan 3, 11:00 am",2012,10582.937449754954
"Jan 3, 12:00 pm",2012,9914.928963521023
"Jan 3, 01:00 pm",2012,9400.141098674369
"Jan 3, 02:00 pm",2012,9077.47694679571
"Jan 3, 03:00 pm",2012,8839.2935525996
"Jan 3, 04:00 pm",2012,8710.982816972051
"Jan 3, 05:00 pm",2012,8738.425256149043
"Jan 3, 06:00 pm",2012,9304.047589260834
"Jan 3, 07:00 pm",2012,10440.525735704965
"Jan 3, 08:00 pm",2012,10741.035971212412
"Jan 3, 09:00 pm",2012,10780.216145284983
"Jan 3, 10:00 pm",2012,10446.409450649111
"Jan 3, 11:00 pm",2012,9793.582087007511
"Jan 4, 12:00 am",2012,9020.57276762124
"Jan 4, 01:00 am",2012,8414.645851515737
"Jan 4, 02:00 am",2012,8226.257989902479
"Jan 4, 03:00 am",2012,8185.318661232924
"Jan 4, 04:00 am",2012,8248.255197875907
"Jan 4, 05:00 am",2012,8611.382056231709
"Jan 4, 06:00 am",2012,9483.610964160247
"Jan 4, 07:00 am",2012,10752.18813609295
"Jan 4, 08:00 am",2012,11010.381583872613
