Wind Speed (m/s),Turbine Output
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,13.98
3.75,45.74
4,114.19
4.25,145.94
4.5,177.69
4.75,211.89
5,248.54
5.25,285.18
5.5,324.28
5.75,363.37
6,409.81
6.25,463.58
6.5,522.24
6.75,588.24
7,659.14
7.25,727.58
7.5,800.94
7.75,876.73
8,947.62
8.25,1060
8.5,1130
8.75,1200
9,1260
9.25,1310
9.5,1350
9.75,1390
10,1420
10.25,1450
10.5,1470
10.75,1490
11,1500
11.25,1500
11.5,1500
11.75,1500
12,1500
12.25,1500
12.5,1500
12.75,1500
13,1500
13.25,1500
13.5,1500
13.75,1500
14,1500
14.25,1500
14.5,1500
14.75,1500
15,1500
15.25,1500
15.5,1500
15.75,1500
16,1500
16.25,1500
16.5,1500
16.75,1500
17,1500
17.25,1500
17.5,1500
17.75,1500
18,1500
18.25,1500
18.5,1500
18.75,1500
19,1500
19.25,1500
19.5,1500
19.75,1500
20,1500
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40,0
