,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0,0,0,0,0,0,0,0
7:00,0,0,0,0,0,0,0,0
8:00,0,0,0,0,0,0,0,0
9:00,0.2338,0,0,0.4534,0,0,0,0.2789
10:00,0.6343,0.1766,0,0.9855,0,0.3872,0.3726,0.7277
11:00,0.4482,0.571,0.0913,0.902,0.2863,0.7683,0.744,0.9763
12:00,0.6484,0.494,0.0909,0.9186,0.5223,0.6717,0.6425,0.9739
13:00,0.8422,0.2139,0,0.9541,0.5068,0.633,0.603,0.9776
14:00,0.9395,0.4214,0.0147,0.8837,0.577,0.6671,0.6476,0.9122
15:00,1.0269,0.6622,0,0.8992,0.6509,0.7591,0.7342,0.9392
16:00,1.0001,0.5284,0.0225,0.6595,0.7281,0.8306,0.8054,1.0243
17:00,0.6157,0.4818,0.0991,0.7923,0.5763,0.5744,0.5287,0.934
18:00,0.5131,0,0,0.6142,0.083,0,0,0.839
19:00,0,0,0,0.4177,0,0,0,0.3361
20:00,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
