,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0,0,0,0,0,0,0,0
7:00,0,0,0,0,0,0,0,0
8:00,0,0,0,0,0,0,0,0
9:00,0.0096,0,0,0.0867,0,0,0,0.3129
10:00,0.1258,0.2628,0,0.3114,0,0.3715,0.3007,0.6276
11:00,0.3638,0.4915,0,0.4402,0,0.7649,0.6394,0.8053
12:00,0.4625,0.3933,0,0.394,0,0.7141,0.5263,0.8267
13:00,0.3473,0.3066,0,0.4533,0.0402,0.6961,0.438,0.8306
14:00,0.5281,0.2976,0,0.5769,0.0732,0.716,0.5278,0.8464
15:00,0.486,0.2188,0.0249,0.5654,0.185,0.7284,0.6405,0.7908
16:00,0.4576,0.2082,0.0483,0.4459,0.3071,0.7768,0.6553,0.7893
17:00,0.4704,0.2145,0,0.4026,0.2607,0.4694,0.2735,0.6956
18:00,0.4585,0,0,0.2248,0.0003,0,0,0.5466
19:00,0.0063,0,0,0.0071,0,0,0,0
20:00,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
