,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0.0535,0,0,0.0044,0,0,0,0.0025
7:00,0.3495,0.0136,0,0.0951,0,0.0271,0.015,0.1247
8:00,0.6351,0.2891,0.0207,0.4099,0.0148,0.3715,0.2873,0.4615
9:00,0.6797,0.5845,0.2756,0.4195,0.2492,0.6714,0.6698,0.6791
10:00,0.7654,0.6278,0.2926,0.5342,0.2349,0.7311,0.7657,0.639
11:00,0.8224,0.6992,0.4152,0.4545,0.3471,0.7288,0.7562,0.5745
12:00,0.7559,0.6478,0.535,0.6671,0.4001,0.7046,0.7288,0.6578
13:00,0.8272,0.4664,0.5461,0.6908,0.4761,0.7039,0.7254,0.6923
14:00,0.8796,0.6114,0.4694,0.7411,0.4436,0.7393,0.7502,0.8459
15:00,0.9052,0.616,0.31,0.8105,0.2647,0.7646,0.786,0.8156
16:00,0.9005,0.5586,0.2311,0.7215,0.2713,0.7181,0.7012,0.728
17:00,0.8189,0.3846,0.1821,0.5471,0.0952,0.5154,0.4953,0.7998
18:00,0.6354,0.0236,0.0943,0.4525,0.1909,0.0533,0.0422,0.5766
19:00,0.2241,0,0,0.1525,0.0012,0,0,0.1726
20:00,0.0094,0,0,0.0037,0,0,0,0.0004
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
