,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0.0586,0,0,0.0088,0,0,0,0.0019
7:00,0.3386,0.0035,0,0.1719,0,0.0086,0.0066,0.106
8:00,0.5392,0.187,0.0081,0.3592,0.0261,0.214,0.2175,0.3794
9:00,0.7132,0.6029,0.2117,0.53,0.1919,0.691,0.6855,0.4793
10:00,0.7407,0.7365,0.3492,0.6251,0.1642,0.7751,0.8142,0.7155
11:00,0.7552,0.7544,0.3977,0.6873,0.2803,0.7506,0.7844,0.781
12:00,0.8539,0.6496,0.3592,0.6531,0.3785,0.6963,0.7318,0.8013
13:00,0.857,0.6579,0.3887,0.6774,0.3071,0.6907,0.7122,0.7951
14:00,0.8757,0.6216,0.345,0.5698,0.408,0.7088,0.7487,0.7939
15:00,0.7115,0.6902,0.3894,0.7037,0.3914,0.745,0.7922,0.828
16:00,0.82,0.6675,0.2559,0.6388,0.4418,0.7196,0.7671,0.7909
17:00,0.7689,0.4937,0.2873,0.5167,0.3683,0.5543,0.5652,0.5921
18:00,0.6421,0.0435,0.1736,0.4037,0.2576,0.0657,0.0457,0.4424
19:00,0.3071,0,0.0018,0.214,0.0091,0,0,0.2219
20:00,0.0175,0,0,0.0017,0,0,0,0.0086
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
