,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0.0269,0,0,0.0031,0,0,0,0
7:00,0.2645,0,0,0.1904,0,0,0,0.1256
8:00,0.5314,0.1015,0.014,0.6714,0.0078,0.1451,0.2123,0.6142
9:00,0.6427,0.4319,0.1705,0.8783,0.1755,0.716,0.7077,0.6395
10:00,0.9202,0.7789,0.2667,0.942,0.6014,0.8636,0.8368,0.9244
11:00,0.8009,0.7574,0.4021,0.9286,0.6931,0.837,0.8041,0.949
12:00,0.802,0.6959,0.3709,0.8958,0.7893,0.7659,0.7258,0.9328
13:00,0.9476,0.5415,0.4566,0.8975,0.7276,0.717,0.6924,0.9048
14:00,0.8949,0.6847,0.4016,0.8924,0.7364,0.7569,0.7267,0.8737
15:00,0.9382,0.7829,0.682,0.9055,0.7607,0.8176,0.7838,0.9109
16:00,0.9485,0.6789,0.3185,0.7744,0.8357,0.8283,0.8008,0.9262
17:00,0.6466,0.675,0.3872,0.8943,0.6321,0.7189,0.6877,0.8444
18:00,0.5521,0.1637,0.2025,0.6843,0.541,0.2298,0.2077,0.7861
19:00,0.1612,0,0.0137,0.5461,0.0543,0,0,0.4883
20:00,0.0085,0,0,0.0593,0,0,0,0.0485
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
