,1,2,3,4,5,6,7,8
1:00,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0
5:00,0,0,0,0,0,0,0,0
6:00,0.0041,0,0,0.0009,0,0,0,0
7:00,0.0901,0.0045,0,0.0988,0,0.008,0.007,0.0963
8:00,0.326,0.2442,0.0098,0.3974,0.0106,0.2758,0.2466,0.5498
9:00,0.4401,0.6708,0.0959,0.4824,0.0849,0.6852,0.5996,0.7585
10:00,0.5899,0.6864,0.1408,0.7323,0.2648,0.7867,0.7752,0.7885
11:00,0.7036,0.7169,0.1426,0.7053,0.2961,0.7724,0.766,0.8683
12:00,0.7546,0.6296,0.2557,0.73,0.2827,0.7481,0.708,0.8289
13:00,0.7483,0.6196,0.2566,0.7015,0.3736,0.7191,0.6891,0.8414
14:00,0.7288,0.6414,0.3117,0.8143,0.4293,0.7404,0.7192,0.8468
15:00,0.7709,0.5563,0.3314,0.7434,0.4683,0.7632,0.7475,0.7979
16:00,0.6635,0.5428,0.289,0.6577,0.4854,0.7534,0.7583,0.8024
17:00,0.7385,0.4403,0.1897,0.5847,0.5613,0.6239,0.5155,0.7624
18:00,0.5994,0.0544,0.1053,0.4179,0.3563,0.1169,0.067,0.5938
19:00,0.3232,0,0.001,0.2162,0.0191,0,0,0.2977
20:00,0.0152,0,0,0.0098,0,0,0,0.0114
21:00,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0
24:00,0,0,0,0,0,0,0,0
