,1,2,3,4,5,6,7,8
1:00,0.6317,0.6452,0.2501,0.0747,0.3588,0.4459,0.467,0.2312
2:00,0.5746,0.6421,0.2407,0.065,0.2962,0.4615,0.4731,0.3399
3:00,0.4233,0.6791,0.2713,0.0739,0.3513,0.3579,0.4805,0.2181
4:00,0.3983,0.6384,0.239,0.0927,0.3976,0.264,0.474,0.1561
5:00,0.3446,0.6632,0.2318,0.0798,0.3918,0.2466,0.4755,0.1934
6:00,0.265,0.6954,0.2467,0.0865,0.443,0.2519,0.4565,0.1868
7:00,0.2509,0.6877,0.2585,0.0673,0.4071,0.2098,0.4282,0.1852
8:00,0.3019,0.7065,0.2848,0.0243,0.3847,0.1899,0.4716,0.1592
9:00,0.3935,0.7409,0.3352,0.0071,0.3725,0.1682,0.502,0.1639
10:00,0.3802,0.6668,0.3734,0,0.3613,0.158,0.4449,0.1294
11:00,0.4176,0.6388,0.438,0.0027,0.4927,0.0937,0.4754,0.1143
12:00,0.4182,0.5952,0.3096,0.0283,0.566,0.0741,0.4687,0.0985
13:00,0.4896,0.5965,0.2716,0.0281,0.5516,0.0249,0.4757,0.0446
14:00,0.5275,0.6093,0.1921,0.0768,0.6084,0.0159,0.4959,0.0281
15:00,0.557,0.6085,0.1476,0.1158,0.5114,0.0366,0.4576,0.0986
16:00,0.4867,0.6192,0.1878,0.098,0.539,0.0933,0.3799,0.1643
17:00,0.4869,0.5427,0.1939,0.1374,0.5825,0.082,0.3747,0.1925
18:00,0.5131,0.5744,0.1903,0.1815,0.546,0.0825,0.3695,0.2602
19:00,0.5418,0.6486,0.2358,0.1959,0.5568,0.0937,0.4508,0.3336
20:00,0.546,0.6916,0.2913,0.23,0.4603,0.0659,0.6018,0.3139
21:00,0.5166,0.7461,0.3153,0.287,0.4028,0.0466,0.6114,0.3363
22:00,0.5047,0.6821,0.2412,0.1976,0.4647,0.1074,0.6085,0.2968
23:00,0.4628,0.6174,0.3103,0.1454,0.4816,0.1848,0.5855,0.3066
24:00,0.3879,0.557,0.2945,0.1785,0.5427,0.2877,0.5567,0.3685
