,1,2,3,4,5,6,7,8
1:00,0.6336,0.6273,0.2414,0.0843,0.4841,0.4583,0.5019,0.2996
2:00,0.5789,0.6208,0.2526,0.096,0.4337,0.4665,0.5061,0.3203
3:00,0.4866,0.6308,0.2376,0.1176,0.4275,0.3987,0.5042,0.297
4:00,0.4758,0.6166,0.2193,0.1437,0.4777,0.3371,0.5041,0.2808
5:00,0.3841,0.6198,0.2238,0.1301,0.4872,0.3164,0.4837,0.2829
6:00,0.285,0.6119,0.23,0.1174,0.4772,0.3118,0.4562,0.255
7:00,0.2667,0.528,0.2547,0.0947,0.4184,0.2991,0.3927,0.2369
8:00,0.3121,0.5536,0.2733,0.0524,0.3972,0.2695,0.3914,0.1985
9:00,0.352,0.5874,0.3084,0.0266,0.3501,0.2548,0.4042,0.1773
10:00,0.3609,0.5358,0.3483,0.0169,0.3556,0.2058,0.3498,0.1296
11:00,0.3487,0.5438,0.4005,0.0112,0.5336,0.0824,0.3096,0.1176
12:00,0.4319,0.5585,0.3066,0.0129,0.526,0.0631,0.3028,0.1171
13:00,0.5117,0.517,0.2485,0.0212,0.5209,0.051,0.287,0.0882
14:00,0.482,0.5195,0.1554,0.0305,0.4844,0.0487,0.2619,0.0883
15:00,0.4602,0.5236,0.1006,0.0404,0.4802,0.0534,0.2663,0.1725
16:00,0.4409,0.5058,0.1587,0.0904,0.4917,0.0866,0.2447,0.2013
17:00,0.4908,0.5274,0.1271,0.1327,0.4486,0.1208,0.2557,0.2013
18:00,0.4547,0.4914,0.1255,0.1671,0.4598,0.1275,0.306,0.2536
19:00,0.4855,0.4953,0.1573,0.1529,0.4357,0.1644,0.4228,0.3028
20:00,0.4741,0.6193,0.2323,0.1651,0.3389,0.1529,0.5585,0.3461
21:00,0.4469,0.7043,0.3023,0.1812,0.3217,0.1413,0.5965,0.3902
22:00,0.5468,0.704,0.2613,0.1867,0.3727,0.182,0.6009,0.3787
23:00,0.5202,0.6084,0.3528,0.1508,0.4325,0.2377,0.6013,0.3945
24:00,0.5041,0.5741,0.3649,0.2032,0.522,0.2917,0.5713,0.3724
