,1,2,3,4,5,6,7,8
1:00,0.6847,0.8029,0.2197,0.097,0.4583,0.6302,0.7109,0.2924
2:00,0.6208,0.8044,0.1822,0.0735,0.3562,0.5815,0.6603,0.3104
3:00,0.5155,0.7611,0.1779,0.0555,0.3312,0.4572,0.6704,0.2989
4:00,0.4659,0.6792,0.2098,0.0462,0.3265,0.3877,0.6294,0.192
5:00,0.4086,0.6805,0.3118,0.0419,0.3711,0.3411,0.5662,0.1723
6:00,0.3014,0.6542,0.3372,0.0335,0.3975,0.3284,0.5592,0.1797
7:00,0.2799,0.6552,0.29,0.0198,0.4185,0.302,0.5952,0.1587
8:00,0.2921,0.6795,0.3192,0.0092,0.3985,0.2477,0.5669,0.1262
9:00,0.3112,0.7184,0.3786,0.0032,0.3688,0.1997,0.5328,0.0959
10:00,0.3356,0.7244,0.2597,0.0003,0.3098,0.092,0.4922,0.0498
11:00,0.2961,0.8551,0.1881,0.0016,0.4329,0.0343,0.6544,0.06
12:00,0.3926,0.8523,0.1245,0.0047,0.5677,0.0251,0.6641,0.0962
13:00,0.4797,0.8306,0.1229,0.0141,0.5906,0.0093,0.6385,0.0497
14:00,0.4206,0.8545,0.1342,0.0224,0.5698,0.0086,0.5696,0.0329
15:00,0.4309,0.8162,0.0938,0.0202,0.5528,0.007,0.6097,0.0732
16:00,0.3933,0.8141,0.0827,0.059,0.466,0.0201,0.6206,0.1013
17:00,0.4464,0.8035,0.094,0.0938,0.3988,0.0495,0.5845,0.1163
18:00,0.4692,0.8068,0.1287,0.1025,0.4646,0.0781,0.6505,0.1713
19:00,0.5991,0.8308,0.2299,0.1764,0.4867,0.1463,0.7723,0.2722
20:00,0.6228,0.8691,0.3118,0.2087,0.5019,0.1448,0.8626,0.3153
21:00,0.6097,0.8422,0.3798,0.2306,0.4975,0.1404,0.8952,0.3413
22:00,0.6724,0.7795,0.3496,0.1997,0.609,0.2198,0.8814,0.5107
23:00,0.6018,0.7486,0.6228,0.1595,0.5386,0.2492,0.8465,0.5369
24:00,0.6304,0.7213,0.6048,0.1513,0.4579,0.3153,0.7957,0.5507
