,1,2,3,4,5,6,7,8
1:00,0.7401,0.8698,0.4486,0.4317,0.4981,0.6605,0.8837,0.2292
2:00,0.7105,0.87,0.3424,0.3481,0.4547,0.6497,0.8604,0.2365
3:00,0.6711,0.8469,0.2745,0.2772,0.4286,0.5819,0.8123,0.2446
4:00,0.6084,0.8154,0.2406,0.2581,0.4616,0.5176,0.7903,0.2738
5:00,0.6011,0.8019,0.2728,0.2115,0.4763,0.4852,0.8077,0.2939
6:00,0.574,0.803,0.26,0.179,0.5456,0.4747,0.8433,0.27
7:00,0.5705,0.78,0.2268,0.1468,0.5492,0.4445,0.8455,0.2884
8:00,0.5134,0.7677,0.197,0.0879,0.5225,0.4008,0.8448,0.3257
9:00,0.4428,0.7707,0.189,0.0438,0.5165,0.3736,0.8413,0.3824
10:00,0.3347,0.7668,0.1283,0.0146,0.4363,0.3996,0.8198,0.3175
11:00,0.2135,0.6517,0.0827,0.0005,0.2067,0.3022,0.6782,0.4273
12:00,0.226,0.5962,0.0433,0.0074,0.1135,0.2998,0.6485,0.5499
13:00,0.2205,0.6549,0.0221,0.0126,0.1384,0.3166,0.5785,0.3885
14:00,0.237,0.7589,0.029,0.017,0.1275,0.2991,0.4428,0.2446
15:00,0.2931,0.8449,0.0376,0.0229,0.1513,0.263,0.3746,0.3061
16:00,0.3677,0.87,0.0621,0.0346,0.1334,0.2586,0.3421,0.3246
17:00,0.4613,0.8903,0.1039,0.0379,0.1404,0.2359,0.3169,0.257
18:00,0.4714,0.8915,0.1599,0.0498,0.1531,0.186,0.3643,0.2991
19:00,0.6767,0.8727,0.2469,0.1058,0.1529,0.2386,0.5255,0.4071
20:00,0.65,0.8549,0.3991,0.1737,0.173,0.2735,0.8263,0.5116
21:00,0.5373,0.8076,0.5707,0.2745,0.2245,0.3196,0.9022,0.6002
22:00,0.2552,0.7803,0.5953,0.425,0.287,0.3852,0.8976,0.6646
23:00,0.7085,0.7815,0.6561,0.4314,0.4559,0.4465,0.9054,0.755
24:00,0.2672,0.7787,0.5842,0.3872,0.6411,0.5248,0.9003,0.613
