,1,2,3,4,5,6,7,8
1:00,16428.00,10712.00,13472.00,16213.00,10723.00,10506.00,10719.00,16750.00
2:00,15199.00,10325.00,13254.00,15012.00,10467.00,10071.00,10282.00,15862.00
3:00,14531.00,10072.00,13120.00,14323.00,10385.00,9929.00,10016.00,15234.00
4:00,14043.00,10032.00,13130.00,13877.00,10494.00,9964.00,9993.00,14994.00
5:00,13945.00,10414.00,13474.00,13665.00,10868.00,10266.00,10261.00,15013.00
6:00,14426.00,11449.00,14703.00,13725.00,12099.00,11306.00,11146.00,15232.00
7:00,15354.00,13311.00,16872.00,14027.00,14218.00,13332.00,13089.00,15507.00
8:00,16225.00,13865.00,17644.00,14402.00,15026.00,14036.00,13743.00,16674.00
9:00,17432.00,13805.00,17168.00,15459.00,14731.00,13919.00,13835.00,18251.00
10:00,18755.00,13928.00,16915.00,16931.00,14791.00,14147.00,14173.00,20288.00
11:00,20142.00,14202.00,16664.00,18624.00,14780.00,14360.00,14342.00,22217.00
12:00,21450.00,14264.00,16274.00,20090.00,14606.00,14476.00,14495.00,24089.00
13:00,22688.00,14355.00,15940.00,21205.00,14532.00,14783.00,14737.00,25493.00
14:00,23837.00,14514.00,15603.00,22067.00,14427.00,15130.00,15031.00,26555.00
15:00,24726.00,14342.00,15285.00,22617.00,14274.00,15240.00,15081.00,27178.00
16:00,25434.00,14171.00,15105.00,23053.00,14113.00,15358.00,14948.00,27427.00
17:00,25794.00,14078.00,15182.00,23293.00,14174.00,15244.00,14637.00,27382.00
18:00,25637.00,14397.00,15614.00,23215.00,14436.00,15187.00,14479.00,26759.00
19:00,25067.00,15042.00,16324.00,22586.00,15340.00,15646.00,14772.00,25660.00
20:00,24021.00,14799.00,16189.00,21788.00,15469.00,15274.00,14101.00,24854.00
21:00,23047.00,14451.00,15930.00,21209.00,15120.00,14687.00,13542.00,23902.00
22:00,22502.00,13750.00,15333.00,20714.00,14298.00,13901.00,13117.00,22297.00
23:00,20827.00,12585.00,14633.00,19335.00,13071.00,12642.00,12283.00,20597.00
24:00,18832.00,11450.00,13657.00,17711.00,11762.00,11454.00,11452.00,19236.00
