,1,2,3,4,5,6,7,8
1:00,2290.50,2060.90,2149.10,2321.20,2098.30,2024.90,2007.10,2619.10
2:00,2140.70,2016.50,2112.80,2225.90,2063.60,2002.60,1966.40,2531.10
3:00,2085.10,2004.40,2097.50,2121.50,2040.20,1992.50,1960.50,2466.30
4:00,2038.50,2009.70,2103.40,2066.40,2029.20,2008.90,1963.50,2432.10
5:00,2034.00,2027.40,2139.70,2049.20,2014.00,2042.30,1990.60,2413.70
6:00,2081.60,2126.00,2267.50,2042.30,2080.90,2150.80,2072.30,2441.60
7:00,2160.00,2297.20,2502.00,2057.30,2260.20,2369.00,2261.10,2449.30
8:00,2220.10,2336.00,2642.70,2074.50,2358.30,2408.10,2297.90,2563.00
9:00,2305.30,2320.00,2621.60,2205.30,2317.70,2362.00,2299.70,2733.10
10:00,2552.70,2321.00,2607.60,2348.70,2331.50,2337.10,2294.10,2961.00
11:00,2720.70,2349.10,2571.20,2502.50,2347.40,2304.30,2312.10,3166.50
12:00,2898.90,2359.90,2525.50,2651.60,2365.90,2303.40,2327.70,3372.10
13:00,3019.20,2354.00,2466.90,2768.60,2328.70,2301.50,2337.50,3517.10
14:00,3175.80,2357.90,2417.60,2898.30,2318.70,2316.40,2386.10,3618.40
15:00,3314.30,2363.20,2390.60,2972.90,2295.40,2338.90,2415.60,3707.60
16:00,3433.50,2375.50,2384.80,3023.40,2292.50,2349.30,2423.90,3754.90
17:00,3493.60,2380.70,2416.40,2997.00,2285.40,2371.20,2422.40,3720.80
18:00,3468.70,2376.90,2430.50,2867.30,2258.30,2363.40,2388.40,3667.40
19:00,3371.00,2489.90,2505.60,2785.90,2308.40,2479.70,2477.20,3575.60
20:00,3203.10,2465.70,2511.40,2644.70,2384.90,2456.20,2410.70,3438.10
21:00,3057.80,2434.90,2492.70,2564.40,2380.70,2437.90,2360.30,3356.00
22:00,3022.60,2340.50,2439.90,2562.10,2345.90,2343.00,2273.00,3172.10
23:00,2878.40,2216.90,2323.80,2463.40,2200.20,2211.10,2195.30,2980.20
24:00,2670.70,2086.20,2221.80,2331.50,2096.50,2101.40,2105.30,2815.00
