x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
7.0,0.0084913,0.00087439,4.484e-5,0.00063285,0.0,0.0115994,0.00023959,0.00359122,0.00888305,2.185e-5
8.0,0.10046516,0.0386443,0.0192897,0.02953804,0.01305077,0.11476084,0.02314023,0.06278376,0.10049846,0.01943823
9.0,0.26492699,0.19300694,0.1228913,0.19782051,0.16173488,0.28549129,0.14919354,0.20150429,0.28002202,0.12171764
10.0,0.43927825,0.38327589,0.24155232,0.36447279,0.33530697,0.43923516,0.30365317,0.35130525,0.42491831,0.26649112
11.0,0.54957944,0.55971768,0.35058014,0.49984511,0.4935939,0.58201684,0.44549105,0.45792452,0.56701157,0.38590724
12.0,0.62501694,0.61760026,0.43202814,0.56639607,0.5915318,0.66277326,0.52107628,0.48477844,0.6168038,0.44105361
13.0,0.62354259,0.65044938,0.47621143,0.60497184,0.64727191,0.72565736,0.59858704,0.57868285,0.65025631,0.45812952
14.0,0.61962749,0.66003737,0.44937498,0.58732365,0.61349204,0.68119132,0.55681565,0.59821966,0.62810784,0.44562803
15.0,0.59351539,0.61688875,0.4340659,0.51325575,0.52178006,0.62068102,0.53219894,0.53918595,0.58379537,0.41800869
16.0,0.50024714,0.46021958,0.36497455,0.4208663,0.43802883,0.47914898,0.43811756,0.47468522,0.48272493,0.32100705
17.0,0.39400521,0.29838671,0.25231873,0.26743872,0.28013278,0.3760323,0.28399549,0.31780164,0.35451239,0.20809759
18.0,0.21677195,0.10920178,0.10440731,0.09411962,0.09874984,0.21593467,0.12038191,0.17854804,0.21550432,0.0842134
19.0,0.06365603,0.01396072,0.01106015,0.01023749,0.00669028,0.06665431,0.01141754,0.03919386,0.06919566,0.00665944
20.0,0.00277547,1.986e-5,-0.0,0.00027086,0.0,0.00160982,0.0,0.00011538,0.00297974,-0.0
21.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
