x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,-0.0,0.91891892,0.88888889,-0.0,0.73684211,0.13043478,0.0,0.06060606,0.64814815,-0.0
2.0,-0.0,0.97297297,0.84444444,-0.0,0.73684211,0.13043478,0.0,0.09090909,0.7037037,-0.0
3.0,-0.0,0.94594595,0.91111111,-0.0,0.68421053,0.08695652,0.0,0.06060606,0.62962963,-0.0
4.0,-0.0,0.97297297,0.84444444,-0.0,0.68421053,0.13043478,0.0,0.09090909,0.66666667,-0.0
5.0,-0.0,0.97297297,0.84444444,-0.0,0.68421053,0.13043478,0.0,0.09090909,0.66666667,-0.0
6.0,-0.0,0.91891892,0.84444444,-0.0,0.68421053,0.08695652,0.0,0.03030303,0.74074074,-0.0
7.0,-0.0,0.97297297,0.86666667,-0.0,0.68421053,0.08695652,0.0,0.03030303,0.72222222,-0.0
8.0,-0.0,1.0,0.82222222,-0.0,0.73684211,0.08695652,0.0,0.06060606,0.7037037,-0.0
9.0,-0.0,1.0,0.82222222,-0.0,0.73684211,0.08695652,0.0,0.12121212,0.66666667,-0.0
10.0,-0.0,0.94594595,0.71111111,-0.0,0.68421053,0.13043478,0.0,0.12121212,0.64814815,-0.0
11.0,-0.0,0.91891892,0.53333333,-0.0,0.47368421,0.04347826,0.0,0.06060606,0.59259259,-0.0
12.0,-0.0,0.7027027,0.35555556,-0.0,0.36842105,0.04347826,0.0,-0.0,0.62962963,-0.0
13.0,-0.0,0.51351351,0.28888889,-0.0,0.26315789,0.0,0.0,-0.0,0.35185185,-0.0
14.0,-0.0,0.18918919,0.15555556,-0.0,0.05263158,0.0,0.0,-0.0,-0.0,-0.0
15.0,-0.0,-0.0,-0.0,0.12121212,0.0,0.0,0.04347826,-0.0,-0.0,0.04545455
16.0,0.25569823,-0.0,-0.0,0.36363636,0.0,0.0,0.04347826,-0.0,-0.0,0.25
17.0,0.44444444,-0.0,-0.0,0.47534657,0.0,0.0,0.04347826,-0.0,-0.0,0.29545455
18.0,0.51851852,-0.0,-0.0,0.57575758,0.0,0.04347826,0.13043478,-0.0,-0.0,0.40909091
19.0,0.51851852,-0.0,-0.0,0.84848485,0.0,0.04347826,0.39130435,0.03030303,-0.0,0.65909091
20.0,0.55555556,-0.0,-0.0,0.87878788,0.0,0.04347826,0.43478261,0.03030303,-0.0,0.70454545
21.0,0.57407407,-0.0,-0.0,0.87878788,0.0,0.04347826,0.43478261,0.06060606,-0.0,0.75
22.0,0.62962963,-0.0,-0.0,0.93939394,0.0,0.08695652,0.60869565,0.03030303,-0.0,0.77272727
23.0,0.64814815,-0.0,-0.0,0.93939394,0.0,0.13043478,0.60869565,0.03030303,-0.0,0.79545455
24.0,0.64814815,-0.0,-0.0,0.96969697,0.0,0.13043478,0.56521739,0.03030303,-0.0,0.79545455
