x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,0.59530111,0.40464342,0.56732356,0.27422404,0.87115965,0.93790203,0.60271391,0.36142646,0.6215121,0.80810136
2.0,0.50676247,0.35139387,0.57236681,0.25642101,0.8635807,0.91618087,0.59616783,0.3290196,0.58906617,0.778955
3.0,0.48141358,0.33837225,0.56215378,0.24105939,0.87193333,0.9022771,0.55330174,0.34002162,0.54252642,0.76612455
4.0,0.47190753,0.28158883,0.53347274,0.21997939,0.85499754,0.84752522,0.48774638,0.31416909,0.49945617,0.73470424
5.0,0.39459074,0.25276072,0.53070963,0.20907798,0.84929053,0.81042348,0.38889623,0.29848889,0.43808938,0.70536197
6.0,0.33918136,0.18602955,0.51690533,0.18024343,0.81170982,0.70877217,0.32243768,0.27451071,0.38203765,0.67894348
7.0,0.30202901,0.20142739,0.52611644,0.1750897,0.79969053,0.69432058,0.28288551,0.22933111,0.3423321,0.7229703
8.0,0.19838481,0.21065658,0.50096578,0.14231576,0.76094456,0.50194899,0.26782725,0.20487111,0.21378617,0.69587773
9.0,0.18042136,0.16360342,0.45683363,0.15060444,0.71055333,0.56511101,0.20057855,0.12126384,0.1783779,0.65445561
10.0,0.19476827,0.12514414,0.40815022,0.10010646,0.6779993,0.59299014,0.12723652,0.12584667,0.17059494,0.60929955
11.0,0.17341728,0.07724108,0.34445807,0.06406727,0.69031579,0.66334812,0.1025342,0.16518505,0.17349321,0.63562515
12.0,0.16372741,0.0709809,0.41504933,0.07087212,0.66401509,0.71894261,0.07228696,0.15070687,0.17219519,0.63565803
13.0,0.17006444,0.09302901,0.47864726,0.10146,0.63683684,0.7366313,0.08957043,0.18845737,0.19433407,0.63756758
14.0,0.17932926,0.10038396,0.51225274,0.15496263,0.6534607,0.74765884,0.09534087,0.21954141,0.17428136,0.70659561
15.0,0.19203914,0.10937045,0.56075867,0.19687535,0.64298281,0.80140928,0.0855313,0.30376788,0.24592272,0.68122076
16.0,0.23633358,0.13223928,0.60522474,0.18609212,0.61472351,0.75709188,0.08774812,0.27848263,0.25916988,0.6854897
17.0,0.29454716,0.15719135,0.67483941,0.22071152,0.61035298,0.83515246,0.0781713,0.27070242,0.26559679,0.68641621
18.0,0.37367,0.19064378,0.68494104,0.24433838,0.62039719,0.88642203,0.0854371,0.30635354,0.38204815,0.71027667
19.0,0.44327025,0.28039838,0.72255052,0.35392242,0.61280211,0.88957623,0.12443826,0.3767503,0.48081519,0.75051379
20.0,0.55363185,0.35864847,0.78260074,0.40683879,0.59498772,0.93358029,0.17132435,0.47970646,0.6181616,0.75951242
21.0,0.60230815,0.3771218,0.82736326,0.43076384,0.55928947,0.92047942,0.17228551,0.45446889,0.69383259,0.76989318
22.0,0.65419086,0.40056432,0.81976993,0.48638545,0.50296491,0.90390551,0.23466551,0.46225939,0.67716827,0.77757561
23.0,0.6596316,0.41754162,0.80154711,0.48180727,0.46224351,0.90777884,0.23857942,0.4059998,0.64911185,0.76904545
24.0,0.66963716,0.44835982,0.77267244,0.48679273,0.4372586,0.92795014,0.27810638,0.39268869,0.60899025,0.76033848
