x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,-0.0,0.91891892,0.91111111,-0.0,0.73684211,0.26086957,0.08695652,0.27272727,0.83333333,-0.0
2.0,-0.0,0.91891892,0.91111111,-0.0,0.78947368,0.26086957,0.08695652,0.27272727,0.81481481,-0.0
3.0,-0.0,0.94594595,0.88888889,-0.0,0.73684211,0.26086957,0.08695652,0.3030303,0.83333333,-0.0
4.0,-0.0,0.91891892,0.88888889,-0.0,0.73684211,0.26086957,0.08695652,0.15151515,0.7962963,-0.0
5.0,-0.0,0.89189189,0.91111111,-0.0,0.68421053,0.26086957,0.08695652,0.18181818,0.7962963,-0.0
6.0,-0.0,0.89189189,0.91111111,-0.0,0.78947368,0.26086957,0.08695652,0.18181818,0.81481481,-0.0
7.0,-0.0,0.86486486,0.88888889,-0.0,0.84210526,0.26086957,0.08695652,0.18181818,0.7962963,-0.0
8.0,-0.0,0.86486486,0.91111111,-0.0,0.84210526,0.26086957,0.08695652,0.18181818,0.7962963,-0.0
9.0,-0.0,0.86486486,0.84444444,-0.0,0.84210526,0.2173913,0.08695652,0.24242424,0.74074074,-0.0
10.0,-0.0,0.83783784,0.84444444,-0.0,0.84210526,0.26086957,0.08695652,0.21212121,0.74074074,-0.0
11.0,-0.0,0.86486486,0.68888889,-0.0,0.73684211,0.26086957,0.08695652,0.21212121,0.7962963,-0.0
12.0,-0.0,0.7027027,0.44444444,-0.0,0.47368421,0.26086957,-0.0,0.21212121,0.75925926,-0.0
13.0,-0.0,0.56756757,0.33333333,-0.0,0.36842105,0.13043478,-0.0,0.09090909,0.66666667,-0.0
14.0,-0.0,0.43243243,0.31111111,-0.0,0.26315789,0.08695652,-0.0,0.03030303,0.31481481,-0.0
15.0,-0.0,0.13513514,0.2,0.06060606,0.10526316,-0.0,0.04347826,-0.0,-0.0,0.09090909
16.0,0.27777778,-0.0,-0.0,0.3030303,-0.0,0.04347826,0.17391304,-0.0,-0.0,0.29545455
17.0,0.57407407,-0.0,-0.0,0.3030303,-0.0,0.04347826,0.2173913,-0.0,-0.0,0.31818182
18.0,0.77777778,-0.0,-0.0,0.54545455,-0.0,0.13043478,0.2173913,-0.0,-0.0,0.31818182
19.0,0.83333333,-0.0,-0.0,0.60606061,-0.0,0.2173913,0.34782609,0.06060606,-0.0,0.38636364
20.0,0.83333333,-0.0,-0.0,0.66666667,-0.0,0.34782609,0.47826087,0.21212121,-0.0,0.47727273
21.0,0.83333333,-0.0,-0.0,0.81818182,-0.0,0.34782609,0.65217391,0.21212121,-0.0,0.75
22.0,0.83333333,-0.0,-0.0,0.84848485,-0.0,0.34782609,0.69565217,0.27272727,-0.0,0.81818182
23.0,0.85185185,-0.0,-0.0,0.87878788,-0.0,0.43478261,0.69565217,0.27272727,-0.0,0.88636364
24.0,0.87037037,-0.0,-0.0,0.84848485,-0.0,0.47826087,0.73913043,0.3030303,-0.0,0.88636364
