x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
3.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
4.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
5.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
6.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
7.0,0.00261132,0.00028347,-0.0,-0.0,-0.0,0.00368793,-0.0,0.00098276,0.00310857,-0.0
8.0,0.05413354,0.01081312,0.00740474,0.00695197,0.00052378,0.06880867,0.00767973,0.02637688,0.05758943,0.00378878
9.0,0.2102322,0.12704708,0.08123702,0.09721539,0.07233877,0.24642742,0.07360729,0.14226052,0.21725306,0.073337
10.0,0.40124808,0.30616315,0.26639394,0.27827287,0.29171866,0.44448531,0.26720007,0.30308073,0.38952758,0.25332982
11.0,0.56213284,0.48473362,0.45432896,0.46700396,0.49593568,0.61367476,0.45126521,0.42242305,0.54978844,0.44523765
12.0,0.66875737,0.61220409,0.6082692,0.59290502,0.62191422,0.73321635,0.59650018,0.53842543,0.66593916,0.61301623
13.0,0.72463674,0.66559696,0.6731445,0.69500513,0.68161215,0.75969427,0.668499,0.59105051,0.72906314,0.6759668
14.0,0.72709429,0.6856015,0.6820621,0.65513879,0.68604961,0.79796839,0.67699879,0.61537338,0.72963326,0.68039595
15.0,0.68195245,0.64259575,0.64130415,0.63698386,0.65014028,0.76559029,0.64334513,0.62645143,0.67224337,0.62808694
16.0,0.61058824,0.55675193,0.55189995,0.53989939,0.57521745,0.67801786,0.55304315,0.54022805,0.58686767,0.5297752
17.0,0.49613538,0.39770495,0.39717698,0.37668209,0.42427598,0.5277116,0.40323514,0.44435281,0.49377543,0.39265393
18.0,0.33743729,0.19972874,0.20849374,0.17187064,0.23471848,0.33468129,0.20925134,0.29016922,0.32439087,0.20279189
19.0,0.14673961,0.04220583,0.04360496,0.03214517,0.03673241,0.14874768,0.0382008,0.11405323,0.15390089,0.03724354
20.0,0.02467473,0.00366238,0.00160093,0.00335607,0.00034413,0.02318465,0.0011885,0.00826562,0.02683609,0.00114696
21.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
22.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
23.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
24.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
